발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_
"2015","20150105",야,월,"1","1","0","0","0",서울,구로구,차대사람,기타,기타,중앙선 침범,단일로,기타단일로,중형,보행자,942107.000000000000000,1944339.000000000000000,126.845062599999991,37.496496039999997,어린이집,세라핌어린이집,서울특별시 구로구 고척로18길 92,,37.497723999999998,126.845022200000002,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","1"
"2015","20150105",야,월,"1","1","0","0","0",서울,구로구,차대사람,기타,기타,중앙선 침범,단일로,기타단일로,중형,보행자,942107.000000000000000,1944339.000000000000000,126.845062599999991,37.496496039999997,초등학교,오류초등학교,서울특별시 구로구 경인로19길 39,,37.497529030000003,126.842028099999993,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","96"
"2015","20150105",야,월,"1","1","0","0","0",서울,구로구,차대사람,기타,기타,중앙선 침범,단일로,기타단일로,중형,보행자,942107.000000000000000,1944339.000000000000000,126.845062599999991,37.496496039999997,유치원,준희유치원,서울특별시 구로구 경인로19길 8,,37.496059660000000,126.842831799999999,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","96"
"2015","20150105",야,월,"1","1","0","0","0",서울,구로구,차대사람,기타,기타,중앙선 침범,단일로,기타단일로,중형,보행자,942107.000000000000000,1944339.000000000000000,126.845062599999991,37.496496039999997,어린이집,코레일오류동어린이집,서울특별시 구로구 경인로20가길 24,,37.495482709999997,126.845329899999996,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","96"
"2015","20150106",야,화,"1","1","0","0","0",서울,용산구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,중형,보행자,953874.000000000000000,1950002.000000000000000,126.977820099999988,37.548201110000001,초등학교,삼광초교,서울특벽시 용산구 두텁바위로1나길 19,서울특별시 용산구 후암동 190-2,37.547753299999997,126.976593600000001,용산구청,용산경찰서,Y,,4~18,2020/02/18,"3020000",서울특별시 용산구,"0","98"
"2015","20150106",주,화,"1","5","3","1","0",서울,성북구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,터널안,대형,소형,955425.000000000000000,1956850.000000000000000,126.994961199999992,37.609999809999998,어린이집,노벨어린이집,서울특별시 성북구 정릉로8길 40-20,서울특별시 성북구 정릉동 873,37.608359000000000,126.997065500000005,서울특별시 성북구청,서울특별시 성북경찰서,Y,"1",,2020/02/28,"3070000",서울특별시 성북구,"0","10"
"2015","20150106",야,화,"1","1","0","0","0",서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,중형,보행자,947727.000000000000000,1944613.000000000000000,126.908618300000001,37.499301010000003,어린이집,구립신길5동어린이집,서울특별시 영등포구 신길로13길 20,서울특별시 영등포구 신길동 440-53,37.497563999999997,126.906102000000004,영등포구청,영등포경찰서,Y,"1","8",2020/06/30,"3180000",서울특별시 영등포구,"0","7"
"2015","20150106",야,화,"1","1","0","0","0",서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,중형,보행자,947727.000000000000000,1944613.000000000000000,126.908618300000001,37.499301010000003,유치원,성미유치원,서울특별시 영등포구 신길로 93,서울특별시 영등포구 신길동 253-242,37.501689980000002,126.908766299999996,영등포구청,영등포경찰서,Y,"1","6.7",2020/06/30,"3180000",서울특별시 영등포구,"0","9"
"2015","20150113",주,화,"1","1","0","0","0",서울,관악구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,대형,950797.000000000000000,1942793.000000000000000,126.943470400000010,37.483065650000000,초등학교,관악초등학교,서울특별시 관악구 청룡4길 49,,37.481024120000001,126.942555999999996,서울특별시 관악구청,서울관악경찰서,Y,"4",6~20,2020/05/31,"3200000",서울특별시 관악구,"0","95"
"2015","20150113",주,화,"1","1","0","0","0",서울,관악구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,대형,950797.000000000000000,1942793.000000000000000,126.943470400000010,37.483065650000000,유치원,관악병설유치원,서울특별시 관악구 청룡4길 49,,37.481024120000001,126.942555999999996,서울특별시 관악구청,서울관악경찰서,Y,"1",6~20,2020/05/31,"3200000",서울특별시 관악구,"0","95"
"2015","20150116",주,금,"1","1","0","0","0",서울,영등포구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,중형,보행자,948652.000000000000000,1947639.000000000000000,126.918871200000012,37.526626819999997,어린이집,KDB어린이집,서울특별시 영등포구 은행로 14,서울특별시 영등포구 여의도동 16-3,37.527121409999999,126.920823999999996,영등포구청,영등포경찰서,Y,"1","22",2020/06/30,"3180000",서울특별시 영등포구,"0","14"
"2015","20150116",야,금,"1","1","0","0","0",서울,영등포구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,중형,보행자,946912.800000000046566,1947723.699999999953434,126.899182799999991,37.527291740000003,유치원,은하유치원,서울특별시 영등포구 당산로28길 11,서울특별시 영등포구 당산동3가 79,37.524927099999999,126.898031599999996,영등포구청,영등포경찰서,Y,"1",7~7.4,2020/06/30,"3180000",서울특별시 영등포구,"0","9"
"2015","20150117",야,토,"1","1","0","0","0",서울,서초구,차대사람,보도통행중,보도통행중,과속,단일로,기타단일로,대형,보행자,955683.000000000000000,1942390.000000000000000,126.998757599999990,37.479680660000000,유치원,새성민유치원,서울특별시 서초구 효령로 110,서울특별시 서초구 방배3동 981-2,37.480656699999997,126.996119100000001,서울시 서초구,방배경찰서,Y,"1","1",2019/06/03,"3210000",서울특별시 서초구,"0","10"
"2015","20150117",주,토,"1","1","0","0","0",서울,금천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,소형,보행자,945793.000000000000000,1939876.000000000000000,126.887088299999988,37.456494010000000,초등학교,안천초등학교,서울특별시 금천구 한내로 69-16,서울특별시 금천구 독산동 1090,37.458744830000001,126.888356000000002,서울특별시 금천구청,금천경찰서,Y,"1",10~20,2020/02/20,"3170000",서울특별시 금천구,"0","96"
"2015","20150118",야,일,"1","2","1","0","0",서울,용산구,차량단독,기타,기타,신호위반,교차로,교차로내,중형,없음,954692.199999999953434,1948504.100000000093132,126.987174900000014,37.534740769999999,초등학교,이태원초교,서울특벽시 용산구 녹사평대로40길 19,서울특별시 용산구 이태원동 406,37.536478070000001,126.987671800000001,용산구청,용산경찰서,Y,,6~7,2020/02/18,"3020000",서울특별시 용산구,"0","96"
"2015","20150120",야,화,"1","1","0","0","0",서울,강동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,경형,보행자,968431.000000000000000,1948370.000000000000000,127.142682499999992,37.534104970000001,어린이집,성심어린이집,서울특별시 강동구 천호대로193길 23-3,서울특별시 강동구 길동 401-2,37.536217209999997,127.144570200000004,서울특별시 강동구청,강동경찰서,Y,"1","6",2019/12/06,"3240000",서울특별시 강동구,"0","10"
