발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm),옐로카펫_설치유무
2015,20150105,야,월,1,1,0,0,0,서울,구로구,차대사람,기타,기타,중앙선 침범,단일로,기타단일로,중형,보행자,942107,1944339,126.8450626,37.49649604,어린이집,세라핌어린이집,서울특별시 구로구 고척로18길 92,,37.497724,126.8450222,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구,0,1,3.7,-1.1,7.9,0.4,0
2015,20150105,야,월,1,1,0,0,0,서울,구로구,차대사람,기타,기타,중앙선 침범,단일로,기타단일로,중형,보행자,942107,1944339,126.8450626,37.49649604,초등학교,오류초등학교,서울특별시 구로구 경인로19길 39,,37.49752903,126.8420281,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구,0,96,3.7,-1.1,7.9,0.4,0
2015,20150105,야,월,1,1,0,0,0,서울,구로구,차대사람,기타,기타,중앙선 침범,단일로,기타단일로,중형,보행자,942107,1944339,126.8450626,37.49649604,유치원,준희유치원,서울특별시 구로구 경인로19길 8,,37.49605966,126.8428318,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구,0,96,3.7,-1.1,7.9,0.4,0
2015,20150105,야,월,1,1,0,0,0,서울,구로구,차대사람,기타,기타,중앙선 침범,단일로,기타단일로,중형,보행자,942107,1944339,126.8450626,37.49649604,어린이집,코레일오류동어린이집,서울특별시 구로구 경인로20가길 24,,37.49548271,126.8453299,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구,0,96,3.7,-1.1,7.9,0.4,0
2015,20150106,야,화,1,1,0,0,0,서울,용산구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,중형,보행자,953874,1950002,126.9778201,37.54820111,초등학교,삼광초교,서울특벽시 용산구 두텁바위로1나길 19,서울특별시 용산구 후암동 190-2,37.5477533,126.9765936,용산구청,용산경찰서,Y,,4~18,2020-02-18,3020000,서울특별시 용산구,0,98,-3.2,-7.6,4,3,0
2015,20150106,주,화,1,5,3,1,0,서울,성북구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,터널안,대형,소형,955425,1956850,126.9949612,37.60999981,어린이집,노벨어린이집,서울특별시 성북구 정릉로8길 40-20,서울특별시 성북구 정릉동 873,37.608359,126.9970655,서울특별시 성북구청,서울특별시 성북경찰서,Y,1,,2020-02-28,3070000,서울특별시 성북구,0,10,-3.2,-7.6,4,3,0
2015,20150106,야,화,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,중형,보행자,947727,1944613,126.9086183,37.49930101,어린이집,구립신길5동어린이집,서울특별시 영등포구 신길로13길 20,서울특별시 영등포구 신길동 440-53,37.497564,126.906102,영등포구청,영등포경찰서,Y,1,8,2020-06-30,3180000,서울특별시 영등포구,0,7,-3.2,-7.6,4,3,0
2015,20150106,야,화,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,중형,보행자,947727,1944613,126.9086183,37.49930101,유치원,성미유치원,서울특별시 영등포구 신길로 93,서울특별시 영등포구 신길동 253-242,37.50168998,126.9087663,영등포구청,영등포경찰서,Y,1,6.7,2020-06-30,3180000,서울특별시 영등포구,0,9,-3.2,-7.6,4,3,0
2015,20150113,주,화,1,1,0,0,0,서울,관악구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,대형,950797,1942793,126.9434704,37.48306565,초등학교,관악초등학교,서울특별시 관악구 청룡4길 49,,37.48102412,126.942556,서울특별시 관악구청,서울관악경찰서,Y,4,6~20,2020-05-31,3200000,서울특별시 관악구,0,95,0.2,-5.1,5.8,,0
2015,20150113,주,화,1,1,0,0,0,서울,관악구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,대형,950797,1942793,126.9434704,37.48306565,유치원,관악병설유치원,서울특별시 관악구 청룡4길 49,,37.48102412,126.942556,서울특별시 관악구청,서울관악경찰서,Y,1,6~20,2020-05-31,3200000,서울특별시 관악구,0,95,0.2,-5.1,5.8,,0
