발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_
"2017","20170101",야간,일,"1","1","0","0","0",서울,금천구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,"946778","1941695",126.898093599999996,37.472946290000003,초등학교,문성초등학교,서울특별시 금천구 시흥대로 460,서울특별시 금천구 독산동 982,37.474911679999998,126.899463999999995,서울특별시 금천구청,금천경찰서,Y,"1",4~10,2020/02/20,"3170000",서울특별시 금천구,"0","96"
"2017","20170102",야간,월,"1","1","0","0","0",서울,은평구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,"948413","1957900",126.915443999999994,37.619096749999997,유치원,성균관(갈현초교 중복),서울특별시 은평구 연서로27길 23,서울특별시 은평구 연서로27길 23,37.618313399999998,126.916921099999996,서울특별시 은평구,은평경찰서,Y,"1","4",2019/07/31,"3110000",서울특별시 은평구,"0","95"
"2017","20170102",야간,월,"1","1","0","0","0",서울,은평구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,"948413","1957900",126.915443999999994,37.619096749999997,초등학교,갈현초등,서울특별시 은평구 연서로29길 31,서울특별시 은평구 연서로29길 31,37.619286700000004,126.916643100000002,서울특별시 은평구,은평경찰서,Y,"5","4",2019/07/31,"3110000",서울특별시 은평구,"0","95"
"2017","20170102",야간,월,"1","1","0","0","0",서울,은평구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승용차,보행자,"948413","1957900",126.915443999999994,37.619096749999997,초등학교,선일초등,서울특별시 은평구 갈현로29길 27,서울특별시 은평구 갈현로29길 27,37.619722000000003,126.912617299999994,서울특별시 은평구,은평경찰서,Y,"7","7.5",2019/07/31,"3110000",서울특별시 은평구,2017-06-22,"95"
"2017","20170102",주간,월,"1","1","0","0","0",서울,영등포구,차량단독,전도전복,전도전복,안전운전 의무 불이행,교차로,교차로내,이륜차,없음,"946757","1943309",126.897739299999998,37.487492379999999,유치원,영서초병설유치원,서울특별시 구로구 도림로20길 57,,37.488960460000001,126.895583900000005,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","96"
"2017","20170102",주간,월,"1","1","0","0","0",서울,영등포구,차량단독,전도전복,전도전복,안전운전 의무 불이행,교차로,교차로내,이륜차,없음,"946757","1943309",126.897739299999998,37.487492379999999,초등학교,영서초등학교,서울특별시 구로구 도림로20길 57,,37.488960460000001,126.895583900000005,서울특별시 구로구청,구로경찰서,Y,,,2019/10/28,"3160000",서울특별시 구로구,"0","96"
"2017","20170102",주간,월,"1","1","0","0","0",서울,광진구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,"964223","1950661",127.094943099999981,37.554600890000003,유치원,경원유치원,서울특별시 광진구 영화사로 89,서울특별시 광진구 구의2동 16-10,37.554876000000000,127.093908999999996,서울특별시청,광진경찰서,Y,"1",,2019/02/20,"3040000",서울특별시 광진구,"0","10"
"2017","20170102",주간,월,"1","1","0","0","0",서울,광진구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,"964223","1950661",127.094943099999981,37.554600890000003,유치원,영화유치원,서울특별시 광진구 영화사로 105,서울특별시 광진구 구의2동 18,37.554125999999997,127.095297000000002,서울특별시청,광진경찰서,Y,"1",,2019/02/20,"3040000",서울특별시 광진구,"0","10"
"2017","20170103",야간,화,"1","1","0","0","0",서울,관악구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,"951809","1942583",126.954930300000001,37.481226220000003,초등학교,원당초등학교,서울특별시 관악구 봉천로 505,,37.481278660000001,126.956249799999995,서울특별시 관악구청,서울관악경찰서,Y,"4",6~25,2020/05/31,"3200000",서울특별시 관악구,"0","95"
"2017","20170103",야간,화,"1","1","0","0","0",서울,관악구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,"951809","1942583",126.954930300000001,37.481226220000003,유치원,동원유치원,서울특별시 관악구 행운1길 96,,37.482828580000003,126.956732799999997,서울특별시 관악구청,서울관악경찰서,Y,"1","8",2020/05/31,"3200000",서울특별시 관악구,"0","97"
"2017","20170103",야간,화,"1","1","0","0","0",서울,관악구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,"951809","1942583",126.954930300000001,37.481226220000003,유치원,원당병설유치원,서울특별시 관악구 봉천로 505,,37.481278660000001,126.956249799999995,서울특별시 관악구청,서울관악경찰서,Y,"1",6~25,2020/05/31,"3200000",서울특별시 관악구,"0","95"
"2017","20170104",주간,수,"1","1","0","0","0",서울,중랑구,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내,자전거,승용차,"963459","1955106",127.086071799999985,37.594635100000005,어린이집,삼성어린이집,서울특별시 중랑구 면목로88길 9,서울특별시 중랑구 상봉2동 107-1,37.594150100000000,127.086921399999994,서울특별시 중랑구청,중랑경찰서,Y,,,2020/03/04,"3060000",서울특별시 중랑구,"0","6"
"2017","20170105",주간,목,"1","1","0","0","0",서울,광진구,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,"961587","1949242",127.065174099999993,37.541704820000000,유치원,윤진유치원,서울특별시 광진구 아차산로 21길 15 (화양동),서울특별시 광진구 화양동 42-21,37.542766000000000,127.062718000000004,서울특별시청,광진경찰서,Y,"2",,2019/02/20,"3040000",서울특별시 광진구,"0","9"
"2017","20170106",야간,금,"1","1","0","0","0",서울,성동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,"958083","1949880",127.025474500000016,37.547302590000001,유치원,금호유치원,서울특별시 성동구 금호산2길 35,서울특별시 성동구 금호동3가 165-1,37.548791309999999,127.023112499999996,서울특별시 성동구,성동경찰서,Y,"1","4",2020/06/17,"3030000",서울특별시 성동구,"0","97"
"2017","20170106",주간,금,"1","1","0","0","0",서울,성북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,"959245","1955990",127.038159399999998,37.602448660000000,어린이집,목화어린이집,서울특별시 성북구 오패산로4길 39-1,서울특별시 성북구 하월곡동 52-6,37.604406980000000,127.040004400000001,서울특별시 성북구청,서울특별시 종암경찰서,Y,"1","8.5",2020/02/28,"3070000",서울특별시 성북구,"0","10"
"2017","20170106",주간,금,"1","1","0","0","0",서울,성북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,보행자,"959245","1955990",127.038159399999998,37.602448660000000,어린이집,새싹어린이집,서울특별시 성북구 오패산로 21,서울특별시 성북구 하월곡동 96-113,37.604126839999999,127.037045399999997,서울특별시 성북구청,서울특별시 종암경찰서,Y,"1","19",2020/02/28,"3070000",서울특별시 성북구,"0","10"
"2017","20170108",야간,일,"1","1","0","0","0",서울,영등포구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,이륜차,승용차,"947101","1945442",126.901476900000006,37.506737260000001,유치원,우성유치원,서울특별시 영등포구 도신로 68-1,서울특별시 영등포구 신길동 365,37.505741999999998,126.900622999999996,영등포구청,영등포경찰서,Y,"1","18",2020/06/30,"3180000",서울특별시 영등포구,"0","8"
"2017","20170110",야간,화,"1","2","0","1","0",서울,양천구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,승합차,"945525","1948772",126.883399300000008,37.536659229999998,유치원,원일유치원,서울특별시 양천구 목동동로 350,서울특별시 양천구 목5동 912,37.535158230000000,126.881874499999995,서울특별시 양천구청,양천경찰서,Y,"2","6",2020/06/01,"3140000",서울특별시 양천구,"0","98"
"2017","20170110",야간,화,"1","2","0","1","0",서울,양천구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,승합차,"945525","1948772",126.883399300000008,37.536659229999998,유치원,한서유치원,서울특별시 양천구 목동동로 430,서울특별시 양천구 목5동 911,37.535203969999998,126.884395299999994,서울특별시 양천구청,양천경찰서,Y,"0","6",2020/06/01,"3140000",서울특별시 양천구,"0","10"
"2017","20170112",주간,목,"1","1","0","0","0",서울,송파구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,자전거,승합차,"968349","1944620",127.141915999999995,37.500301669999999,어린이집,오금어린이집,서울특별시 송파구 마천로27길 4,서울특별시 송파구 오금동 114-31,37.502546000000002,127.140539000000004,서울특별시 송파구청,송파경찰서,Y,"1","10",2020/02/20,"3230000",서울특별시 송파구,"0","6"
"2017","20170113",주간,금,"1","1","0","0","0",서울,서초구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,특수차,보행자,"954182","1942122",126.981798099999992,37.477191849999997,초등학교,이수초등학교,서울특별시 서초구 방배천로4길 23,서울특별시 서초구 방배2동 468-6,37.478319599999999,126.984572700000001,서울시 서초구,방배경찰서,Y,"1","3",2019/06/03,"3210000",서울특별시 서초구,"0","98"
"2017","20170115",주간,일,"1","1","0","0","0",서울,양천구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,승용차,보행자,"943719","1949882",126.862873300000004,37.546555200000000,유치원,등촌유치원,서울특별시 양천구 목동중앙북로8길 46,서울특별시 양천구 목3동 625-19,37.546575550000000,126.864906500000004,서울특별시 양천구청,양천경찰서,Y,"6","6",2020/06/01,"3140000",서울특별시 양천구,"0","98"
