field_1,관리기관명,소재지도로,소재지지번,설치목적구,카메라대수,카메라화소,촬영방면정,보관일수,설치년월,관리기관전,위도,경도,데이터기준,제공기관코,제공기관명,시설종류,대상시설명,소재지도로_2,소재지지번_2,위도_2,경도_2,관리기관명_2,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준_2,제공기관코_2,제공기관명_2,옐로카펫_,보호구역_
29737,서울특별시 종로구청,서울특별시 종로구 자하문로23길 19,서울특별시 종로구 신교동 17-47,생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.58334470000001,126.9692591,2019/09/18,3000000,서울특별시 종로구,초등학교,청운초등학교,서울특별시 종로구 자하문로105,서울특별시 종로구 청운동 123,37.5859741,126.9691707,종로구청,종로경찰서,Y,1.0,6~25,2019/01/14,3000000,서울특별시 종로구,2017-04-13,96
30896,서울특별시 종로구청,서울특별시 종로구 평창30길 31,"서울특별시 종로구 평창동 462-2, 건물 옆",생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.6126567,126.9749041,2019/09/18,3000000,서울특별시 종로구,유치원,하나유치원,서울특별시 종로구 평창길317,서울특별시 종로구 평창동 439-5,37.614309,126.977438,종로구청,종로경찰서,Y,2.0,8,2019/01/14,3000000,서울특별시 종로구,0,8
31242,서울특별시 종로구청,서울특별시 종로구 평창7길 29,"서울특별시 종로구 평창동 445-2, 건물 근처 사거리",생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.6164232,126.9755501,2019/09/18,3000000,서울특별시 종로구,유치원,하나유치원,서울특별시 종로구 평창길317,서울특별시 종로구 평창동 439-5,37.614309,126.977438,종로구청,종로경찰서,Y,2.0,8,2019/01/14,3000000,서울특별시 종로구,0,8
31243,서울특별시 종로구청,서울특별시 종로구 평창길 329,"서울특별시 종로구 평창동 437-6, 건물 앞 다리",생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.6133826,126.9783034,2019/09/18,3000000,서울특별시 종로구,유치원,하나유치원,서울특별시 종로구 평창길317,서울특별시 종로구 평창동 439-5,37.614309,126.977438,종로구청,종로경찰서,Y,2.0,8,2019/01/14,3000000,서울특별시 종로구,0,8
30861,서울특별시 종로구청,서울특별시 종로구 비봉길 48,"서울특별시 종로구 구기동 139-11, 전주 풍남학사 앞",생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.6129415,126.9562125,2019/09/18,3000000,서울특별시 종로구,국제학교,하비에르국제학교,서울특별시 종로구 비봉길23,서울특별시 종로구 구기동 151,37.6108309,126.9560699,종로구청,혜화경찰서,Y,2.0,12,2019/01/14,3000000,서울특별시 종로구,2016-05-02,97
20811,서울특별시 성북구청,서울특별시 성북구 보문로15길 43,서울특별시 성북구 보문동6가 156-3,생활방범,3,200.0,360,30.0,200612,02-2241-4562,37.58018382,127.01925480000001,2020/03/31,3070000,서울특별시 성북구,유치원,청룡유치원,서울특별시 종로구 동망산길 62,서울특별시 종로구 숭인동 48-2,37.579374,127.016652,종로구청,혜화경찰서,Y,1.0,12,2019/01/14,3000000,서울특별시 종로구,0,95
29724,서울특별시 종로구청,서울특별시 종로구 필운대로9길 5,서울특별시 종로구 옥인동 48,생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.582116600000006,126.9673037,2019/09/18,3000000,서울특별시 종로구,유치원,옥인유치원,서울특별시 종로구 자하문로69,서울특별시 종로구 옥인동 18,37.582135,126.970311,종로구청,종로경찰서,Y,1.0,30,2019/01/14,3000000,서울특별시 종로구,0,7
29725,서울특별시 종로구청,서울특별시 종로구 자하문로7길 69,"서울특별시 종로구 누하동 20, 건물 앞 통신주",생활방범,1,200.0,360도전방면,30.0,201512,02-2148-4301,37.58021970000001,126.9689251,2019/09/18,3000000,서울특별시 종로구,유치원,옥인유치원,서울특별시 종로구 자하문로69,서울특별시 종로구 옥인동 18,37.582135,126.970311,종로구청,종로경찰서,Y,1.0,30,2019/01/14,3000000,서울특별시 종로구,0,7
29726,서울특별시 종로구청,서울특별시 종로구 자하문로7길 78,"서울특별시 종로구 통인동 46-28, 정자근처",생활방범,4,200.0,360도전방면,30.0,201312,02-2148-4301,37.58062320000001,126.9688041,2019/09/18,3000000,서울특별시 종로구,유치원,옥인유치원,서울특별시 종로구 자하문로69,서울특별시 종로구 옥인동 18,37.582135,126.970311,종로구청,종로경찰서,Y,1.0,30,2019/01/14,3000000,서울특별시 종로구,0,7
29727,서울특별시 종로구청,서울특별시 종로구 자하문로15길 26,서울특별시 종로구 통인동 31-25,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5806636,126.9693991,2019/09/18,3000000,서울특별시 종로구,유치원,옥인유치원,서울특별시 종로구 자하문로69,서울특별시 종로구 옥인동 18,37.582135,126.970311,종로구청,종로경찰서,Y,1.0,30,2019/01/14,3000000,서울특별시 종로구,0,7
29734,서울특별시 종로구청,서울특별시 종로구 자하문로14길 13,서울특별시 종로구 창성동 98-2,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.58074570000001,126.9715841,2019/09/18,3000000,서울특별시 종로구,유치원,옥인유치원,서울특별시 종로구 자하문로69,서울특별시 종로구 옥인동 18,37.582135,126.970311,종로구청,종로경찰서,Y,1.0,30,2019/01/14,3000000,서울특별시 종로구,0,7
29872,서울특별시 종로구청,서울특별시 종로구 자하문로 303,"서울특별시 종로구 홍지동 126-1, 주유소 뒷골목",생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5991115,126.9591542,2019/09/18,3000000,서울특별시 종로구,어린이집,엔젤키즈어린이집,서울특별시 종로구 자하문로43길 4-13,서울특별시 종로구 부암동 384-7,37.5985179,126.960504,종로구청,종로경찰서,Y,1.0,30,2019/01/14,3000000,서울특별시 종로구,0,16
29874,서울특별시 종로구청,서울특별시 종로구 자하문로 302-5,서울특별시 종로구 홍지동 103-17,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5998149,126.9594264,2019/09/18,3000000,서울특별시 종로구,어린이집,엔젤키즈어린이집,서울특별시 종로구 자하문로43길 4-13,서울특별시 종로구 부암동 384-7,37.5985179,126.960504,종로구청,종로경찰서,Y,1.0,30,2019/01/14,3000000,서울특별시 종로구,0,16
29689,서울특별시 종로구청,서울특별시 종로구 세검정로7나길 14,서울특별시 종로구 신영동 214-43,생활방범,3,200.0,360도전방면,30.0,201312,02-2148-4301,37.6035833,126.9600738,2019/09/18,3000000,서울특별시 종로구,초등학교,세검정초등학교,서울특별시 종로구 세검정로9길1,서울특별시 종로구 신영동 219-4,37.6033878,126.9608999,종로구청,종로경찰서,Y,3.0,4~8,2019/01/14,3000000,서울특별시 종로구,2017-04-14,10
29875,서울특별시 종로구청,서울특별시 종로구 평창1길 22,서울특별시 종로구 신영동 5-12,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.6051597,126.9626975,2019/09/18,3000000,서울특별시 종로구,초등학교,세검정초등학교,서울특별시 종로구 세검정로9길1,서울특별시 종로구 신영동 219-4,37.6033878,126.9608999,종로구청,종로경찰서,Y,3.0,4~8,2019/01/14,3000000,서울특별시 종로구,2017-04-14,10
29706,서울특별시 종로구청,서울특별시 종로구 필운대로1길 7-6,서울특별시 종로구 필운동 32-2,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5771595,126.968682,2019/09/18,3000000,서울특별시 종로구,유치원,세종유치원,서울특별시 종로구 사직로8길 9,서울특별시 종로구 필운동 278-4,37.575477,126.969952,종로구청,종로경찰서,Y,1.0,25,2019/01/14,3000000,서울특별시 종로구,0,9
29709,서울특별시 종로구청,서울특별시 종로구 자하문로1길 34,서울특별시 종로구 체부동 213,생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5765711,126.9705377,2019/09/18,3000000,서울특별시 종로구,유치원,세종유치원,서울특별시 종로구 사직로8길 9,서울특별시 종로구 필운동 278-4,37.575477,126.969952,종로구청,종로경찰서,Y,1.0,25,2019/01/14,3000000,서울특별시 종로구,0,9
29713,서울특별시 종로구청,서울특별시 종로구 인왕산로1길 29,"서울특별시 종로구 사직동 304-36, 세븐일레븐 맞은편",생활방범,2,200.0,360도전방면,30.0,201312,02-2148-4301,37.5735323,126.9640974,2019/09/18,3000000,서울특별시 종로구,특수학교,수도사랑의학교,서울특별시 종로구 사직로7길17,서울특별시 종로구 사직동 262-57,37.574721,126.965217,종로구청,종로경찰서,Y,1.0,12,2019/01/14,3000000,서울특별시 종로구,0,6
