발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_,평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm),옐로카펫_설치유무
2016,20161225,주간,일,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,945989,1942347,126.8891231,37.4787771,어린이집,모아래 어린이집,서울특별시 금천구 가산로 9길 35,서울특별시 금천구 가산동 219-21,37.47629846,126.8904598,서울특별시 금천구청,금천경찰서,Y,1,6~10,2020-02-20,3170000,서울특별시 금천구,0,6,1,-4.5,6.4,,0
2016,20161113,야간,일,1,2,1,0,0,서울,용산구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,소형,보행자,954062,1946930,126.9801406,37.52052182,유치원,한가람유치원,서울특벽시 용산구 이촌로89길 50,서울특별시 용산구 이촌동 301-54,37.51952037,126.981263,용산구청,용산경찰서,Y,,6~7,2020-02-18,3020000,서울특별시 용산구,0,10,14.4,12.1,18.1,0.5,0
2016,20161113,야간,일,1,2,1,0,0,서울,용산구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,소형,보행자,954062,1946930,126.9801406,37.52052182,유치원,대건유치원,서울특벽시 용산구 이촌로81길 38,서울특별시 용산구 이촌동 301-110,37.52071271,126.9778555,용산구청,용산경찰서,Y,,9,2020-02-18,3020000,서울특별시 용산구,0,10,14.4,12.1,18.1,0.5,0
2016,20161119,주간,토,1,1,0,0,0,서울,중랑구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,횡단보도부근,대형,보행자,963578,1954478,127.087451,37.58897947,초등학교,서울면목초등학교,서울특별시 중랑구 면목로 434,서울특별시 중랑구 면목본동 221,37.59069723,127.0872887,서울특별시 중랑구청,중랑경찰서,Y,,,2020-03-04,3060000,서울특별시 중랑구,0,97,13,9.9,18.6,0,0
2016,20160222,야간,월,1,2,1,0,0,서울,양천구,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로,소형,중형,944245,1947548,126.8690048,37.52555069,초등학교,서정초교,서울특별시 양천구 목동로8길 19,서울특별시 양천구 목1동 927-5,37.52345129,126.8672365,서울특별시 양천구청,양천경찰서,Y,4,7,2020-06-01,3140000,서울특별시 양천구,0,97,1.1,-2.2,4.2,0,0
2016,20160210,야간,수,1,1,0,0,0,서울,광진구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,,962922,1948748,127.0803106,37.5373069,초등학교,자양초등학교,서울특별시 광진구 아차산로 44길 26,서울특별시 광진구 자양1동 222,37.536965,127.07707,서울특별시청,광진경찰서,Y,5,,2019-02-20,3040000,서울특별시 광진구,0,7,2.7,-4.3,10.7,,0
2016,20160210,야간,수,1,1,0,0,0,서울,광진구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,,962922,1948748,127.0803106,37.5373069,유치원,자양병설유치원,서울특별시 광진구 아차산로 44길 26(자양동),서울특별시 광진구 자양1동 222,37.536795,127.077327,서울특별시청,광진경찰서,Y,1,,2019-02-20,3040000,서울특별시 광진구,0,7,2.7,-4.3,10.7,,0
2016,20160210,야간,수,1,1,0,0,0,서울,광진구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,,962922,1948748,127.0803106,37.5373069,어린이집,좋은어린이집,서울특별시 광진구 구의강변로3길 31 (구의동),서울특별시 광진구 구의3동 590-3,37.536186,127.081554,서울특별시청,광진경찰서,Y,3,,2019-02-20,3040000,서울특별시 광진구,0,7,2.7,-4.3,10.7,,0
2016,20160223,주간,화,1,1,0,0,0,서울,금천구,차대차,측면직각충돌,측면직각충돌,안전운전 의무 불이행,교차로,교차로내,중형,소형,944921,1943004,126.8772258,37.48412042,어린이집,LG전자구로어린이집,서울특별시 구로구 가마산로 95,,37.486014,126.8769045,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구,0,13,0.7,-4.5,4.5,0.9,0
2016,20160226,주간,금,1,1,0,0,0,서울,강동구,차대사람,횡단중,횡단중,중앙선 침범,단일로,기타단일로,경형,보행자,967986,1950914,127.1375348,37.55701975,어린이집,동심어린이집,서울특별시 강동구 고덕로27길 33-19,서울특별시 강동구 암사동 450-24,37.5561083,127.1373773,서울특별시 강동구청,강동경찰서,Y,1,5,2019-12-06,3240000,서울특별시 강동구,0,16,2.2,-3.2,7.5,0,0
2016,20160307,주간,월,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,대형,보행자,958860,1950648,127.0342272,37.55425981,어린이집,행응어린이집,서울특별시 성동구 독서당로63길 34,서울특별시 성동구 행당동 341-42,37.553126,127.0313028,서울특별시 성동구,성동경찰서,Y,1,7,2020-06-17,3030000,서울특별시 성동구,0,6,8.1,4.8,12.2,0,0
2016,20160307,주간,월,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,대형,보행자,958860,1950648,127.0342272,37.55425981,유치원,세성유치원,서울특별시 성동구 독서당로 434,서울특별시 성동구 응봉동 100,37.55386308,127.0340554,서울특별시 성동구,성동경찰서,Y,1,24,2020-06-17,3030000,서울특별시 성동구,0,9,8.1,4.8,12.2,0,0
2016,20160307,주간,월,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,대형,보행자,958860,1950648,127.0342272,37.55425981,유치원,율화유치원,서울특별시 성동구 고산자로 164,서울특별시 성동구 행당동 349,37.55648283,127.0352744,서울특별시 성동구,성동경찰서,Y,1,12,2020-06-17,3030000,서울특별시 성동구,0,6,8.1,4.8,12.2,0,0
2016,20160301,주간,화,1,1,0,0,0,서울,동대문구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,경형,960866,1954442,127.0566284,37.5885892,어린이집,휘경어린이집,서울특별시 동대문구 망우로10가길 15,서울특별시 동대문구 휘경동 308-196,37.58711503,127.0577157,서울특별시 동대문구청,동대문경찰서,Y,1,,2019-11-25,3050000,서울특별시 동대문구,0,9,-2.7,-7.5,2.1,,0
2016,20160301,주간,화,1,1,0,0,0,서울,동대문구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,경형,960866,1954442,127.0566284,37.5885892,어린이집,회기어린이집,서울특별시 동대문구 회기로 165,서울특별시 동대문구 회기동 58-1,37.59067813,127.0545526,서울특별시 동대문구청,동대문경찰서,Y,1,,2019-11-25,3050000,서울특별시 동대문구,0,13,-2.7,-7.5,2.1,,0
2016,20160213,야간,토,1,2,0,1,0,서울,마포구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,951596,1951000,126.9519667,37.55707939,초등학교,북성초등학교,서울특별시 서대문구 북아현로5나길 84,서울특별시 서대문구 북아현2동 215,37.559433,126.951959,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1,6~7,2019-03-04,3120000,서울특별시 서대문구,0,97,11,5.8,14.4,21,0
2016,20160213,야간,토,1,2,0,1,0,서울,마포구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,951596,1951000,126.9519667,37.55707939,유치원,북성초교(단설)유치원,서울특별시 서대문구 북아현로5나길 84,서울특별시 서대문구 북아현2동 215,37.559433,126.951959,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1,6~7,2019-03-04,3120000,서울특별시 서대문구,0,97,11,5.8,14.4,21,0
2016,20160308,주간,화,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,건설기계,보행자,960069,1949132,127.0479972,37.54064883,유치원,로사유치원,서울특별시 성동구 성덕정길 23,서울특별시 성동구 성수동1가 110,37.5394137,127.0462961,서울특별시 성동구,성동경찰서,Y,1,4~9,2020-06-17,3030000,서울특별시 성동구,0,10,2.7,-1.4,7,,0
2016,20160308,주간,화,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,건설기계,보행자,960069,1949132,127.0479972,37.54064883,초등학교,경일초등학교,서울특별시 성동구 뚝섬로 332,서울특별시 성동구 성수동1가 656-32,37.54094208,127.0466048,서울특별시 성동구,성동경찰서,Y,4,4~9,2020-06-17,3030000,서울특별시 성동구,20170916,95,2.7,-1.4,7,,0
2016,20160214,주간,일,1,2,1,0,0,서울,송파구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,대형,건설기계,962500,1945071,127.0757218,37.5041476,초등학교,아주초등학교,서울특별시 송파구 올림픽로4길 59,서울특별시 송파구 잠실7동 354,37.50582752,127.0757669,서울특별시 송파구청,송파경찰서,Y,3,9~20,2020-02-20,3230000,서울특별시 송파구,0,6,-2.6,-6.8,5.8,2.5,0
2016,20160214,주간,일,1,2,1,0,0,서울,송파구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,대형,건설기계,962500,1945071,127.0757218,37.5041476,유치원,아주유치원,서울특별시 송파구 올림픽로4길 59,서울특별시 송파구 거여2동 295,37.50582752,127.0757669,서울특별시 송파구청,송파경찰서,Y,1,12,2020-02-20,3230000,서울특별시 송파구,0,6,-2.6,-6.8,5.8,2.5,0
2016,20160311,야간,금,1,1,0,0,0,서울,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,957877,1945404,127.0262865,37.50106994,초등학교,서초초등학교,서울특별시 서초구 서운로 178,서울특별시 서초구 서초4동 1310-6,37.499331,127.0242296,서울시 서초구,서초경찰서,Y,1,2,2019-06-03,3210000,서울특별시 서초구,20160905,8,-0.5,-5.5,4.6,,0
2016,20160329,주간,화,1,1,0,0,0,서울,강남구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,중형,중형,964777,1943191,127.1018414,37.48730104,어린이집,수서어린이집,서울특별시 강남구 광평로 242,,37.486135,127.099054,서울특별시 강남구청,수서경찰서,Y,1,8,2020-06-24,3220000,서울특별시 강남구,0,12,11.3,7.6,17.1,0.1,0
2016,20160323,야간,수,1,1,0,0,0,서울,강서구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,자전거,경형,942234,1949616,126.8460362,37.54413137,초등학교,화곡초등학교,서울특별시 강서구 초록마을로 28 (화곡동),,37.5436698,126.8464706,서울특별시 강서구청,강서경찰서,Y,2,10,2020-01-01,3150000,서울특별시 강서구,20170926,96,8.2,3.8,13.8,,0
2016,20160401,야간,금,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,중형,보행자,958743,1956851,127.0325532,37.61016371,초등학교,숭곡초등학교,서울특별시 성북구 종암로40길 30,서울특별시 성북구 하월곡동 84-86,37.6084672,127.0328164,서울특별시 성북구청,서울특별시 종암경찰서,Y,1,,2020-02-28,3070000,서울특별시 성북구,0,97,15.3,7.3,23.8,,0
