발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,시설종류,대상시설명,소재지도로,소재지지번,위도_2,경도_2,관리기관명,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기준,제공기관코,제공기관명,옐로카펫_,보호구역_
"2012","20120118",야간,일,"1","1","0","0","0",서울,은평구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,"949859","1957198",126.931876700000004,37.612849619999999,초등학교,불광초등,서울특별시 은평구 불광로 51,서울특별시 은평구 불광로 51,37.613428550000002,126.930720399999998,서울특별시 은평구,은평경찰서,Y,"6","6",2019/07/31,"3110000",서울특별시 은평구,"0","95"
"2012","20120120",야간,일,"1","1","0","0","0",서울,강남구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,자전거,중형,"960300","1944678",127.050852700000007,37.500513320000003,초등학교,도성초등학교,서울특별시 강남구 역삼로 313,,37.501462820000000,127.048873799999996,서울특별시 강남구청,수서경찰서,Y,"2","23.1",2020/06/24,"3220000",서울특별시 강남구,2016-05-27,"95"
"2012","20120123",야간,금,"1","2","1","0","0",서울,송파구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,중형,중형,"968157","1944038",127.139769000000001,37.495049209999998,초등학교,개롱초등학교,서울특별시 송파구 문정로 211,서울특별시 송파구 오금동 159,37.497351999999999,127.139842599999994,서울특별시 송파구청,송파경찰서,Y,"3",8~20,2020/02/20,"3230000",서울특별시 송파구,"0","8"
"2012","20120123",야간,금,"1","2","1","0","0",서울,송파구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,중형,중형,"968157","1944038",127.139769000000001,37.495049209999998,어린이집,거여어린이집,서울특별시 송파구 오금로 475,서울특별시 송파구 거여1동 20-7,37.494532700000001,127.142155000000002,서울특별시 송파구청,송파경찰서,Y,"1",7~9,2020/02/20,"3230000",서울특별시 송파구,"0","10"
"2012","20120125",야간,목,"1","1","0","0","0",서울,관악구,차대사람,횡단중,횡단중,과속,단일로,횡단보도상,중형,보행자,"950801","1942695",126.943522200000004,37.482182559999998,초등학교,관악초등학교,서울특별시 관악구 청룡4길 49,,37.481024120000001,126.942555999999996,서울특별시 관악구청,서울관악경찰서,Y,"4",6~20,2020/05/31,"3200000",서울특별시 관악구,"0","95"
"2012","20120125",야간,목,"1","1","0","0","0",서울,관악구,차대사람,횡단중,횡단중,과속,단일로,횡단보도상,중형,보행자,"950801","1942695",126.943522200000004,37.482182559999998,유치원,관악병설유치원,서울특별시 관악구 청룡4길 49,,37.481024120000001,126.942555999999996,서울특별시 관악구청,서울관악경찰서,Y,"1",6~20,2020/05/31,"3200000",서울특별시 관악구,"0","95"
"2012","20120202",주간,일,"1","1","0","0","0",서울,강북구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,중형,"0","959111","1957112",127.036707900000010,37.612532600000002,유치원,동명유치원,서울특별시 강북구 오패산로 130,서울특별시 강북구 미아동 53-1,37.613530410000003,127.034254799999999,강북구청,강북경찰서,Y,"2","15",2019/05/10,"3080000",서울특별시 강북구,"0","2"
"2012","20120206",주간,수,"1","1","0","0","0",서울,양천구,차대차,측면직각충돌,측면직각충돌,중앙선 침범,교차로,교차로부근,자전거,대형,"944960","1947393",126.877107800000005,37.524196619999998,유치원,등대유치원,서울특별시 양천구 목동동로12길 60,서울특별시 양천구 신정2동 1279,37.522132810000002,126.877791000000002,서울특별시 양천구청,양천경찰서,Y,"3","6",2020/06/01,"3140000",서울특별시 양천구,"0","98"
"2012","20120214",야간,금,"1","1","0","0","0",서울,서대문구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,"951158","1954248",126.946791300000001,37.586330940000003,유치원,인왕유치원,서울특별시 서대문구 통일로32길 23,서울특별시 서대문구 홍제2동 105-88,37.586142000000002,126.949475000000007,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,"1","4",2019/03/04,"3120000",서울특별시 서대문구,"0","95"
"2012","20120221",야간,금,"1","1","0","0","0",서울,금천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,"948184","1939149",126.914172799999989,37.450078480000002,초등학교,동광초등학교,서울특별시 금천구 탑골로 10길 45,서울특별시 금천구 시흥동 산 100-4,37.451672000000002,126.916887000000003,서울특별시 금천구청,금천경찰서,Y,"1",6~14,2020/02/20,"3170000",서울특별시 금천구,"0","3"
