발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2012,20120103,주간,화,1,1,0,0,0,서울,강서구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,0,940106,1949641,126.82199469999999,37.54415531
2012,20120106,주간,월,1,4,3,0,0,서울,서초구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,중형,경형,960326,1939189,127.0514426,37.45103974
2012,20120118,야간,일,1,1,0,0,0,서울,은평구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,949859,1957198,126.9318767,37.61284962
2012,20120119,야간,화,1,2,0,1,0,서울,서초구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,중형,대형,960292,1939264,127.0513362,37.45181451
2012,20120120,야간,일,1,1,0,0,0,서울,강남구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,자전거,중형,960300,1944678,127.05085270000001,37.50051332
2012,20120122,야간,수,1,1,0,0,0,서울,중랑구,차대사람,횡단중,횡단중,신호위반,교차로,교차로부근,중형,보행자,964090,1955497,127.0932003,37.59818414
2012,20120123,야간,금,1,2,1,0,0,서울,송파구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,중형,중형,968157,1944038,127.139769,37.49504921
2012,20120125,야간,목,1,1,0,0,0,서울,관악구,차대사람,횡단중,횡단중,과속,단일로,횡단보도상,중형,보행자,950801,1942695,126.9435222,37.48218256
2012,20120126,주간,토,1,3,2,0,0,서울,동작구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,횡단보도상,중형,소형,947508,1943458,126.90622330000001,37.48887835
2012,20120128,야간,수,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,대형,보행자,966596,1943105,127.12215259999998,37.48658446
2012,20120129,야간,일,1,4,0,3,0,서울,중구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,중형,중형,955169,1952212,126.99234479999998,37.56818425
2012,20120202,주간,일,1,1,0,0,0,서울,강북구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,중형,0,959111,1957112,127.03670790000001,37.6125326
2012,20120206,주간,수,1,1,0,0,0,서울,양천구,차대차,측면직각충돌,측면직각충돌,중앙선 침범,교차로,교차로부근,자전거,대형,944960,1947393,126.8771078,37.52419662
2012,20120206,주간,월,1,3,0,2,0,서울,강동구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,소형,중형,968532,1950156,127.14362479999998,37.55015195
2012,20120209,야간,일,1,1,0,0,0,서울,서초구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,중형,보행자,958876,1942819,127.0348466,37.48369509
2012,20120210,주간,화,1,2,0,1,0,서울,관악구,차대차,기타,기타,안전거리 미확보,단일로,기타단일로,중형,중형,951186,1942649,126.9373092,37.46454058
2012,20120212,야간,화,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도부근,중형,보행자,960522,1948987,127.05313259999998,37.53936142
2012,20120214,야간,금,1,1,0,0,0,서울,서대문구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,951158,1954248,126.9467913,37.58633094
2012,20120217,야간,수,1,1,0,0,0,서울,구로구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,중형,대형,945667,1945484,126.8852497,37.50703249
2012,20120219,야간,월,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,947035,1939681,126.90114469999999,37.45480842
2012,20120220,야간,목,1,1,0,0,0,서울,구로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,943105,1944438,126.8563446,37.49745038
2012,20120221,주간,화,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,946594,1947104,126.89562,37.521687899999996
2012,20120221,야간,금,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,948184,1939149,126.91417279999999,37.45007848
2012,20120221,주간,금,1,1,0,0,0,서울,강남구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,958722,1943119,127.0330879,37.48639224
2012,20120221,주간,금,1,1,0,0,0,서울,송파구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,대형,자전거,965864,1946808,127.11370079999999,37.51993452
2012,20120224,야간,토,1,1,0,0,0,서울,은평구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,소형,0,948987,1954245,126.92239529999999,37.58619605
2012,20120224,주간,수,1,1,0,0,0,서울,중랑구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,962499,1955001,127.0752028,37.59365006
2012,20120224,야간,토,1,1,0,0,0,서울,영등포구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,경형,중형,949287,1947672,126.92605520000001,37.526959399999996
2012,20120225,야간,화,1,3,1,1,0,서울,서대문구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,원동기장치자전거,대형,950923,1954517,126.9435875,37.58917313
2012,20120225,주간,월,1,1,0,0,0,서울,강남구,차대차,측면직각충돌,측면직각충돌,안전거리 미확보,단일로,기타단일로,중형,소형,961616,1945037,127.06521969999999,37.50459615
2012,20120226,야간,금,1,1,0,0,0,서울,성동구,차대차,기타,기타,중앙선 침범,단일로,기타단일로,소형,원동기장치자전거,962224,1951161,127.0576821,37.53377212
