발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2014,2014-01-01 0:00,40,주간,금,1,1,0,0,0,경기,오산시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,승용차,중형,960824,1905922,127.0588279,37.15120216
2014,2014-01-01 1:00,23,주간,목,1,9,3,5,0,경북,문경시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,화물차,소형,승합차,대형,1045257,1843983,128.0122186,36.58983435
2014,2014-01-01 2:00,10,야간,화,1,3,0,2,0,세종,세종,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,974095,1828345,127.2109147,36.45233748
2014,2014-01-01 4:00,37,야간,수,1,1,0,0,0,강원,속초시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,이륜차,소형,0,0,1094818,2021380,128.5827147,38.18770048
2014,2014-01-01 5:00,50,주간,수,1,1,0,0,0,대구,동구,차대사람,보도통행중,보도통행중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,특수차,대형,보행자,보행자,1103199,1766794,128.6434555,35.89231981
2014,2014-01-01 7:00,20,야간,화,1,3,1,1,0,충북,음성군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,0,0,1016945,1880378,127.7050535,36.94499381
2014,2014-01-01 9:00,25,야간,일,1,1,0,0,0,경기,평택시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,보행자,보행자,960686,1897749,127.0577026,37.07752506
2014,2014-01-01 9:00,15,야간,월,1,2,1,0,0,전남,광양시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,화물차,경형,0,0,1025531,1669535,127.7798561,35.02048014
2014,2014-01-01 18:00,40,야간,수,1,1,0,0,0,경북,포항시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,화물차,대형,1169555,1780150,129.3812528,36.00342549
2014,2014-01-01 18:00,40,야간,화,1,1,0,0,0,서울,마포구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,949594,1950269,126.9293512,37.55038341
2014,2014-01-01 18:00,0,야간,화,1,1,0,0,0,광주,서구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,943638,1684345,126.8811972,35.15276899
