발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2013,2013-01-01 8:00,50,주간,화,1,1,0,0,0,경남,밀양시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,터널안,승용차,중형,0,0,1115586,1731518,128.7757724,35.57305984
2013,2013-01-01 15:00,15,주간,화,1,1,0,0,0,경북,봉화군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,0,0,1133284,1883377,128.994334,36.93804049
2013,2013-01-01 16:00,10,주간,화,1,1,0,0,0,경기,여주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,0,0,1006011,1915647,127.5616517,37.21562907
2013,2013-01-01 18:00,5,야간,화,1,8,3,4,0,대전,유성구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,승합차,대형,승용차,중형,984496,1818843,127.3271733,36.36689891
2013,2013-01-01 20:00,35,야간,화,1,4,3,0,0,충남,아산시,차대차,기타,기타,운전자법규위반,중앙선 침범,단일로,교량위,승용차,대형,승용차,중형,954608,1866711,126.9911886,36.79746864
2013,2013-01-01 22:00,40,야간,화,1,1,0,0,0,경남,합천군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,0,0,1055825,1727151,128.1158295,35.53875523
2013,2013-01-02 4:00,50,야간,수,1,1,0,0,0,전북,익산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,보행자,보행자,964750,1776072,127.1089838,35.98077706
2013,2013-01-02 5:00,37,야간,수,1,1,0,0,0,충남,공주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,960448,1830493,127.0585155,36.47123569
2013,2013-01-02 20:00,25,야간,수,1,3,0,2,0,제주,서귀포시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,소형,0,0,943715,1489891,126.8947432,33.39918786
2013,2013-01-02 23:00,40,야간,수,1,1,0,0,0,경기,용인시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,터널안,승용차,중형,0,0,964858,1921951,127.1034992,37.29584592
2013,2013-01-03 4:00,10,야간,목,1,1,0,0,0,충북,청주시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,996146,1848532,127.4568904,36.63466802
2013,2013-01-03 4:00,20,야간,목,1,1,0,0,0,서울,송파구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,0,0,962234,1946621,127.0726326,37.51810752
2013,2013-01-03 6:00,45,주간,목,1,1,0,0,0,대전,대덕구,차대사람,횡단중,횡단중,운전자법규위반,신호위반,단일로,횡단보도상,화물차,소형,보행자,보행자,992629,1818300,127.4177864,36.36206691
2013,2013-01-03 7:00,40,주간,목,1,5,1,3,0,강원,홍천군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,화물차,소형,1044584,1989158,128.0060826,37.90283642
2013,2013-01-03 7:00,20,주간,목,1,1,0,0,0,경기,화성시,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,승용차,소형,보행자,보행자,949788,1904171,126.9296174,37.13914879
2013,2013-01-03 7:00,30,주간,목,1,1,0,0,0,경기,군포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,949266,1930015,126.9270326,37.36781051
2013,2013-01-03 8:00,35,주간,목,1,7,0,0,6,경기,안양시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,화물차,소형,화물차,소형,945340,1934216,126.8823858,37.40545235
2013,2013-01-03 8:00,24,주간,목,1,1,0,0,0,충남,천안시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로부근,승합차,대형,보행자,보행자,969155,1869029,127.1541526,36.81895016
2013,2013-01-03 10:00,10,주간,목,1,1,0,0,0,경기,안양시,차대사람,보도통행중,보도통행중,운전자법규위반,신호위반,교차로,교차로내,화물차,소형,보행자,보행자,949372,1931814,126.9281066,37.38403142
2013,2013-01-03 10:00,55,주간,목,1,1,0,0,0,충북,보은군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,0,0,1020888,1825281,127.7330163,36.42483735
2013,2013-01-03 13:00,25,주간,목,1,3,2,0,0,대구,동구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,특수차,대형,승합차,소형,1106496,1767098,128.6800204,35.8947068
