발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2013,20130103,야간,목,1,1,0,0,0,서울,송파구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,중형,0,962234,1946621,127.07263259999999,37.51810752
2013,20130107,주간,월,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,신호위반,단일로,횡단보도부근,대형,보행자,947421,1948279,126.9048943,37.53232586
2013,20130107,야간,월,1,1,0,0,0,서울,마포구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,중형,대형,945452,1953957,126.8819155,37.58338525
2013,20130108,주간,화,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,소형,보행자,949091,1951060,126.923602,37.55748513
2013,20130109,주간,수,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,947729,1951111,126.9081389,37.55799451
2013,20130110,주간,목,1,1,0,0,0,서울,강서구,차대차,측면직각충돌,측면직각충돌,중앙선 침범,단일로,기타단일로,대형,경형,941117,1951515,126.8323415,37.56188059
2013,20130110,야간,목,1,1,0,0,0,서울,송파구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,중형,보행자,967638,1944411,127.1338814,37.49839319
2013,20130110,야간,목,1,3,1,1,0,서울,강남구,차대차,기타,기타,안전거리 미확보,단일로,기타단일로,대형,불명,957847,1947944,127.02291409999998,37.52984208
2013,20130112,야간,토,1,2,1,0,0,서울,동대문구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,소형,0,959240,1954133,127.0383355,37.58568794
2013,20130113,주간,일,1,1,0,0,0,서울,종로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,소형,보행자,957507,1952830,127.01878300000001,37.57386531
2013,20130113,주간,일,1,1,0,0,0,서울,영등포구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,대형,자전거,947413,1946922,126.9049009,37.52009457
2013,20130115,야간,화,1,1,0,0,0,서울,마포구,차대차,측면직각충돌,측면직각충돌,안전거리 미확보,단일로,기타단일로,중형,중형,952429,1950307,126.9614425,37.55087666
2013,20130116,주간,수,1,1,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,952461,1952512,126.9624392,37.57020067
2013,20130117,야간,목,1,1,0,0,0,서울,동대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,중형,보행자,959659,1954253,127.04307450000002,37.58678799
2013,20130119,야간,토,1,1,0,0,0,서울,성북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,957807,1955834,127.022044,37.60086212
2013,20130119,야간,토,1,1,0,0,0,서울,강동구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,중형,자전거,971728,1951065,127.1798956,37.55850324
2013,20130121,주간,월,1,1,0,0,0,서울,강서구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,940935,1952784,126.83099990000001,37.57261697
2013,20130121,야간,월,1,1,0,0,0,서울,강동구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,대형,보행자,968206,1946650,127.14017630000001,37.51861022
2013,20130122,야간,화,1,1,0,0,0,서울,노원구,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,964241,1958613,127.0947585,37.62627537
2013,20130122,야간,화,1,2,0,1,0,서울,강남구,차대사람,기타,기타,신호위반,단일로,횡단보도상,중형,보행자,960080,1945908,127.04829699999999,37.51159028
2013,20130128,주간,월,1,1,0,0,0,서울,종로구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근,중형,보행자,954764,1952462,126.98774340000001,37.57041774
2013,20130130,야간,수,1,1,0,0,0,서울,종로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,소형,보행자,954910,1952457,126.989397,37.57037984
2013,20130130,주간,수,1,1,0,0,0,서울,성북구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,957803,1956438,127.021927,37.606398600000006
2013,20130131,주간,목,1,2,1,0,0,서울,도봉구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,소형,보행자,959410,1963590,127.03973559999999,37.67093309
2013,20130131,야간,목,1,1,0,0,0,서울,송파구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로부근,소형,보행자,967003,1941434,127.1268311,37.47153752
2013,20130202,주간,토,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,947383,1952994,126.90412590000001,37.57482044
2013,20130202,야간,토,1,2,0,1,0,서울,동대문구,차대차,추돌,진행중 추돌,신호위반,교차로,교차로내,중형,소형,960917,1952705,127.05740549999999,37.57288974
2013,20130207,야간,목,1,1,0,0,0,서울,성동구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,958023,1950783,127.0247436,37.55543884
2013,20130207,야간,목,1,1,0,0,0,서울,종로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,956951,1952627,127.0124987,37.57200979
2013,20130208,야간,금,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,횡단보도상,대형,보행자,948215,1946769,126.9139871,37.51876094
2013,20130209,야간,토,1,1,0,0,0,서울,광진구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,962271,1951018,127.07339569999999,37.55897768
2013,20130211,주간,월,1,1,0,0,0,서울,노원구,차량단독,주/정차차량 충돌,주/정차차량 충돌,안전운전 의무 불이행,단일로,기타단일로,대형,대형,963184,1959494,127.0827358,37.63417428
2013,20130213,야간,수,1,1,0,0,0,서울,마포구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,중형,0,945221,1952291,126.8772611,37.57107641
2013,20130213,야간,수,1,1,0,0,0,서울,강서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,939248,1951528,126.8121263,37.56110656
2013,20130217,야간,일,1,1,0,0,0,서울,은평구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,소형,보행자,946621,1953814,126.8954372,37.58216726
2013,20130219,야간,화,1,3,2,0,0,서울,서초구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,소형,중형,958024,1942980,127.0252008,37.48510791
2013,20130219,주간,화,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,소형,보행자,946004,1940996,126.88939180000001,37.46660115
2013,20130220,주간,수,1,4,3,0,0,서울,강서구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,소형,943732,1951705,126.86288049999999,37.56298674
2013,20130220,주간,수,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,948738,1947220,126.9198737,37.52285509
2013,20130221,야간,목,1,2,0,1,0,서울,마포구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,경형,대형,944601,1952542,126.8726564,37.57058333
2013,20130221,야간,목,1,1,0,0,0,서울,마포구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,949791,1950029,126.9315977,37.54823101
2013,20130227,야간,수,1,1,0,0,0,서울,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,대형,보행자,957882,1945360,127.02345829999999,37.50655325
2013,20130228,야간,목,1,1,0,0,0,서울,강동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,중형,보행자,966490,1948009,127.12073000000001,37.53078261
2013,20130228,야간,목,1,1,0,0,0,서울,강서구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,942133,1949834,126.84492379999999,37.54602434
2013,20130301,야간,금,1,1,0,0,0,서울,관악구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,950141,1943161,126.9360259,37.48634735
2013,20130302,야간,토,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,소형,보행자,951352,1949624,126.9492955,37.54466442
2013,20130303,주간,일,1,1,0,0,0,서울,관악구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,950922,1943749,126.9448205,37.49168898
2013,20130304,야간,월,1,1,0,0,0,서울,영등포구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,불명,보행자,945358,1947209,126.88162539999999,37.52256187
2013,20130305,야간,화,1,2,0,1,0,서울,금천구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,소형,중형,946750,1938681,126.8979947,37.44577879999999
2013,20130305,주간,화,1,1,0,0,0,서울,마포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,대형,보행자,949028,1949685,126.92298429999998,37.5450886
