발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2014,20140101,야간,화,1,1,0,0,0,서울,마포구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,949594,1950269,126.92935120000001,37.55038341
2014,20140102,야간,목,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,과속,교차로,교차로부근,중형,보행자,959558,1959113,127.0416618,37.63058777
2014,20140103,야간,목,1,1,0,0,0,서울,강남구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,959077,1945776,127.03695549999999,37.51035657
2014,20140104,주간,토,1,2,1,0,0,서울,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,959667,1945850,127.0436271,37.51104954
2014,20140106,주간,금,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,대형,보행자,947424,1944662,126.9051871,37.49972545
2014,20140106,주간,토,1,1,0,0,0,서울,강서구,차대사람,보도통행중,보도통행중,안전운전 의무 불이행,단일로,횡단보도상,중형,보행자,939193,1951551,126.8115017,37.56131023
2014,20140107,야간,화,1,1,0,0,0,서울,광진구,차량단독,기타,기타,기타(운전자법규위반),단일로,기타단일로,소형,0,963185,1951252,127.0831618,37.55988688
2014,20140108,야간,화,1,1,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,952403,1952596,126.96099960000001,37.57150647
2014,20140109,야간,금,1,1,0,0,0,서울,관악구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,건설기계,보행자,952125,1942235,126.958527,37.47810603
2014,20140110,주간,금,1,1,0,0,0,서울,영등포구,차대차,측면직각충돌,측면직각충돌,부당한 회전,교차로,교차로내,원동기장치자전거,중형,949744,1946769,126.9312889,37.51884551
2014,20140111,야간,토,1,1,0,0,0,서울,은평구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,경형,소형,948618,1957352,126.9178054,37.6141691
2014,20140111,주간,목,1,2,1,0,0,서울,강동구,차대차,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명,자전거,자전거,967957,1952030,127.1371577,37.56707769
2014,20140111,야간,월,1,1,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,신호위반,단일로,횡단보도상,대형,보행자,947983,1944205,126.91154329999999,37.49563809
2014,20140111,주간,토,1,4,1,2,0,서울,노원구,차대차,기타,기타,중앙선 침범,단일로,기타단일로,중형,중형,961441,1957939,127.06306359999999,37.62008722
2014,20140112,야간,수,3,11,7,1,0,서울,송파구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,대형,중형,965214,1946302,127.1063692,37.51534944
2014,20140112,주간,화,1,1,0,0,0,서울,영등포구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로부근,대형,보행자,949660,1946908,126.9303288,37.52009377
2014,20140112,주간,목,1,1,0,0,0,서울,노원구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,소형,보행자,963030,1963525,127.08078629999999,37.67050027
2014,20140114,야간,토,1,4,2,1,0,서울,영등포구,차대차,측면직각충돌,측면직각충돌,안전운전 의무 불이행,단일로,기타단일로,중형,중형,948266,1946869,126.91463629999998,37.519529399999996
2014,20140114,야간,목,1,1,0,0,0,서울,강남구,차대차,측면직각충돌,측면직각충돌,안전거리 미확보,단일로,기타단일로,대형,소형,957652,1945952,127.0210381,37.51187679
2014,20140116,주간,목,1,1,0,0,0,서울,송파구,차대차,측면직각충돌,측면직각충돌,중앙선 침범,단일로,기타단일로,자전거,대형,966636,1948531,127.1223587,37.53549291
2014,20140118,주간,토,1,1,0,0,0,서울,성동구,차대차,측면직각충돌,측면직각충돌,안전운전 의무 불이행,단일로,교량위,소형,소형,957589,1948853,127.0199416,37.53802334
2014,20140119,주간,금,1,1,0,0,0,서울,마포구,차대차,정면충돌,정면충돌,신호위반,교차로,교차로내,소형,중형,950031,1949944,126.93432040000002,37.54747794
2014,20140120,야간,토,1,1,0,0,0,서울,강서구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,대형,944529,1951055,126.87195359999998,37.55717662
