발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2016,20161225,주간,일,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,945989,1942347,126.88912309999999,37.4787771
2016,20161113,야간,일,1,2,1,0,0,서울,용산구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,소형,보행자,954062,1946930,126.9801406,37.52052182
2016,20161119,주간,토,1,1,0,0,0,서울,중랑구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,횡단보도부근,대형,보행자,963578,1954478,127.087451,37.58897947
2016,20161105,야간,토,1,1,0,0,0,서울,관악구,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,터널안,경형,,951203,1940865,126.9481902,37.46570958
2016,20160222,야간,월,1,2,1,0,0,서울,양천구,차대차,정면충돌,정면충돌,안전운전 의무 불이행,단일로,기타단일로,소형,중형,944245,1947548,126.8690048,37.52555069
2016,20160210,야간,수,1,1,0,0,0,서울,광진구,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,,962922,1948748,127.08031059999999,37.5373069
2016,20160224,주간,수,1,2,0,1,0,서울,동작구,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,중형,대형,952380,1944162,126.9596446,37.49691618
2016,20160223,주간,화,1,1,0,0,0,서울,금천구,차대차,측면직각충돌,측면직각충돌,안전운전 의무 불이행,교차로,교차로내,중형,소형,944921,1943004,126.87722579999999,37.48412042
2016,20160226,주간,금,1,1,0,0,0,서울,강동구,차대사람,횡단중,횡단중,중앙선 침범,단일로,기타단일로,경형,보행자,967986,1950914,127.1375348,37.55701975
2016,20160304,주간,금,1,1,0,0,0,서울,노원구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,대형,중형,963740,1958173,127.08910279999999,37.62228991
2016,20160307,주간,월,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,대형,보행자,958860,1950648,127.03422720000002,37.55425981
2016,20160216,주간,화,1,1,0,0,0,서울,마포구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,951279,1949658,126.9484669,37.54496701
2016,20160301,주간,화,1,1,0,0,0,서울,동대문구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,경형,960866,1954442,127.0566284,37.58858920000001
2016,20160214,야간,일,1,1,0,0,0,서울,송파구,차대사람,기타,기타,안전운전 의무 불이행,고가도로위,고가도로위,중형,보행자,966828,1940982,127.12487240000002,37.46745715
2016,20160213,야간,토,1,2,0,1,0,서울,마포구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,951596,1951000,126.95196670000001,37.55707939
2016,20160308,주간,화,1,1,0,0,0,서울,성동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,건설기계,보행자,960069,1949132,127.04799720000001,37.54064883
2016,20160214,주간,일,1,2,1,0,0,서울,송파구,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,대형,건설기계,962500,1945071,127.07572179999998,37.5041476
2016,20160313,야간,일,2,2,0,0,0,서울,중구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,중형,대형,955674,1952037,126.99807369999999,37.56663139
2016,20160311,야간,금,1,1,0,0,0,서울,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,중형,보행자,957877,1945404,127.0262865,37.50106994
2016,20160329,주간,화,1,1,0,0,0,서울,강남구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,중형,중형,964777,1943191,127.10184140000001,37.48730104
2016,20160407,야간,목,1,1,0,0,0,서울,서초구,차대사람,보도통행중,보도통행중,신호위반,교차로,교차로부근,중형,보행자,956580,1942819,127.0088774,37.48359
2016,20160323,야간,수,1,3,0,2,0,서울,서초구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,중형,중형,958964,1942711,127.035848,37.48272556
2016,20160317,야간,목,1,1,0,0,0,서울,용산구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,대형,보행자,953378,1949556,126.9722336,37.54415625
2016,20160323,야간,수,1,1,0,0,0,서울,강서구,차대차,측면직각충돌,측면직각충돌,신호위반,교차로,교차로내,자전거,경형,942234,1949616,126.8460362,37.54413137
2016,20160401,야간,금,1,1,0,0,0,서울,강북구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,중형,보행자,958743,1956851,127.03255320000001,37.61016371
