,일자,군구,유동인구수
196,20190308,강서구,10207930
197,20190308,용산구,5332190
198,20190308,강남구,15572590
199,20190308,동작구,7437290
200,20190309,양천구,7897100
201,20190309,종로구,5027450
202,20190309,중랑구,7149490
203,20190309,강동구,7863400
204,20190309,성동구,5832750
205,20190309,송파구,12341680
206,20190309,영등포구,8769210
207,20190309,노원구,9691940
208,20190309,금천구,4843310
209,20190309,도봉구,5765180
210,20190309,서대문구,6017320
211,20190309,구로구,8300610
212,20190309,동대문구,6966190
213,20190309,중구,4545880
214,20190309,관악구,9652630
215,20190309,강북구,5771500
216,20190309,성북구,7929180
217,20190309,광진구,7149280
218,20190309,마포구,8218330
219,20190309,서초구,9510760
220,20190309,은평구,8117770
221,20190309,강서구,10513410
222,20190309,용산구,5106480
223,20190309,강남구,12805010
224,20190309,동작구,7610330
225,20190310,양천구,8145150
226,20190310,종로구,4280090
227,20190310,중랑구,7367100
228,20190310,강동구,8048380
229,20190310,성동구,5651470
230,20190310,송파구,12199700
231,20190310,영등포구,8603940
232,20190310,노원구,9966170
233,20190310,금천구,4842550
234,20190310,도봉구,6066380
235,20190310,서대문구,5981810
236,20190310,구로구,8413270
237,20190310,동대문구,6973480
238,20190310,중구,3728520
239,20190310,관악구,9937060
240,20190310,강북구,5997060
241,20190310,성북구,8146660
242,20190310,광진구,7139690
243,20190310,마포구,7803490
244,20190310,서초구,8759350
245,20190310,은평구,8398180
246,20190310,강서구,10681100
247,20190310,용산구,4969540
248,20190310,강남구,11578120
249,20190310,동작구,7600740
250,20190311,양천구,7427610
251,20190311,종로구,5955950
252,20190311,중랑구,6791670
253,20190311,강동구,7533130
254,20190311,성동구,6268400
255,20190311,송파구,12047720
256,20190311,영등포구,9899250
257,20190311,노원구,9234330
258,20190311,금천구,5664400
259,20190311,도봉구,5455400
260,20190311,서대문구,6271760
261,20190311,구로구,8504180
262,20190311,동대문구,7089930
263,20190311,중구,6705740
264,20190311,관악구,9110510
265,20190311,강북구,5446090
266,20190311,성북구,8029230
267,20190311,광진구,6757630
268,20190311,마포구,8232240
269,20190311,서초구,10611880
270,20190311,은평구,7564100
271,20190311,강서구,10268930
272,20190311,용산구,5218130
273,20190311,강남구,15236900
274,20190311,동작구,7512480
275,20190312,양천구,7386430
276,20190312,종로구,6041230
277,20190312,중랑구,6752280
278,20190312,강동구,7498700
279,20190312,성동구,6296220
280,20190312,송파구,12027120
281,20190312,영등포구,9884940
282,20190312,노원구,9216430
283,20190312,금천구,5624240
284,20190312,도봉구,5417900
285,20190312,서대문구,6279870
286,20190312,구로구,8431550
287,20190312,동대문구,7088950
288,20190312,중구,6767670
289,20190312,관악구,9075780
290,20190312,강북구,5422290
291,20190312,성북구,8036740
292,20190312,광진구,6753900
293,20190312,마포구,8268610
294,20190312,서초구,10657770
295,20190312,은평구,7515200
296,20190312,강서구,10196260
297,20190312,용산구,5251070
298,20190312,강남구,15352550
299,20190312,동작구,7512700
300,20190313,양천구,7381900
301,20190313,종로구,6097870
302,20190313,중랑구,6735020
303,20190313,강동구,7492380
304,20190313,성동구,6265270
305,20190313,송파구,12016680
306,20190313,영등포구,9878600
307,20190313,노원구,9223900
308,20190313,금천구,5598000
309,20190313,도봉구,5416560
310,20190313,서대문구,6297060
311,20190313,구로구,8466220
312,20190313,동대문구,7098120
313,20190313,중구,6753760
314,20190313,관악구,9068500
315,20190313,강북구,5413610
316,20190313,성북구,8043270
317,20190313,광진구,6781710
318,20190313,마포구,8285990
319,20190313,서초구,10659400
320,20190313,은평구,7518660
321,20190313,강서구,10209940
322,20190313,용산구,5280500
323,20190313,강남구,15409530
324,20190313,동작구,7515620
325,20190314,양천구,7385360
326,20190314,종로구,6102320
327,20190314,중랑구,6739710
328,20190314,강동구,7493380
329,20190314,성동구,6286540
330,20190314,송파구,12149550
331,20190314,영등포구,9890730
332,20190314,노원구,9229190
333,20190314,금천구,5595100
334,20190314,도봉구,5404140
335,20190314,서대문구,6296950
336,20190314,구로구,8442800
337,20190314,동대문구,7084260
338,20190314,중구,6773500
339,20190314,관악구,9076010
340,20190314,강북구,5400570
341,20190314,성북구,8014550
342,20190314,광진구,6782400
343,20190314,마포구,8321100
344,20190314,서초구,10702430
345,20190314,은평구,7502380
346,20190314,강서구,10213780
347,20190314,용산구,5297440
348,20190314,강남구,15484320
349,20190314,동작구,7474330
350,20190315,양천구,7445440
351,20190315,종로구,6058290
352,20190315,중랑구,6756180
353,20190315,강동구,7562110
354,20190315,성동구,6280570
355,20190315,송파구,12174800
356,20190315,영등포구,9927110
357,20190315,노원구,9195040
358,20190315,금천구,5564740
359,20190315,도봉구,5425390
360,20190315,서대문구,6187950
361,20190315,구로구,8453900
362,20190315,동대문구,7041090
363,20190315,중구,6664970
364,20190315,관악구,9083520
365,20190315,강북구,5440360
366,20190315,성북구,7912130
367,20190315,광진구,6808870
368,20190315,마포구,8397520
369,20190315,서초구,10901770
370,20190315,은평구,7533200
371,20190315,강서구,10267950
372,20190315,용산구,5335490
373,20190315,강남구,15615370
374,20190315,동작구,7490070
375,20190316,양천구,7909310
376,20190316,종로구,4971350
377,20190316,중랑구,7179210
378,20190316,강동구,7888820
379,20190316,성동구,5847650
380,20190316,송파구,12306720
381,20190316,영등포구,8766260
382,20190316,노원구,9774520
383,20190316,금천구,4851730
384,20190316,도봉구,5773090
385,20190316,서대문구,6026660
386,20190316,구로구,8306500
387,20190316,동대문구,7022130
388,20190316,중구,4496490
389,20190316,관악구,9663960
390,20190316,강북구,5789830
391,20190316,성북구,8027710
392,20190316,광진구,7147490
393,20190316,마포구,8220340
394,20190316,서초구,9622550
395,20190316,은평구,8147170
396,20190316,강서구,10558130
397,20190316,용산구,5118140
398,20190316,강남구,12838120
399,20190316,동작구,7670370
400,20190317,양천구,8096040
401,20190317,종로구,4349830
402,20190317,중랑구,7355230
403,20190317,강동구,8063260
404,20190317,성동구,5720950
405,20190317,송파구,12280540
406,20190317,영등포구,8575060
407,20190317,노원구,10003480
408,20190317,금천구,4848800
409,20190317,도봉구,6050540
410,20190317,서대문구,5967070
411,20190317,구로구,8410120
412,20190317,동대문구,6968070
413,20190317,중구,3698020
