발생년,발생년월일,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자,발생지시도,발생지시군,사고유형_,사고유형__1,사고유형,법규위반,도로형태_,도로형태,가해자_당,피해자_당,발생위치X_,발생위치Y_,경도,위도,field_1,관리기관명,소재지도로,소재지지번,설치목적구,카메라대수,카메라화소,촬영방면정,보관일수,설치년월,관리기관전,위도_2,경도_2,데이터기준,제공기관코,제공기관명,시설종류,대상시설명,소재지도_1,소재지지_1,위도_2_2,경도_2_2,관리기관_1,관할경찰서,CCTV설치여,CCTV설치대,보호구역도,데이터기_1,제공기관_1,제공기관_2,옐로카펫_,보호구역_
"2019","2019050401",야,토,"1","2","0","2","0",서울,양천구,차대차,추돌,추돌,과속,교차로,교차로부근,승용차,화물차,941066.000000000000000,1946411.000000000000000,126.833120500000007,37.515105190000000,"12980",서울특별시 양천구청,서울특별시 양천구 신월로 97,서울특별시 양천구 신월동 987-3,어린이보호,"4",200.000000000000000,360도 전방,30.000000000000000,"201012",02-2620-4793,37.515960000000000,126.834162000000006,2019/11/20,"3140000",서울특별시 양천구,초등학교,강월초교,서울특별시 양천구 신월로 97,서울특별시 양천구 신월7동 987-3,37.516340999999997,126.833432500000001,서울특별시 양천구청,양천경찰서,Y,5.000000000000000,"8",2020/06/01,"3140000",서울특별시 양천구,"0","97"
"2019","2019061422",야,금,"1","0","0","0","0",서울,구로구,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승용차,보행자,943267.000000000000000,1945810.000000000000000,126.858071300000006,37.509826310000001,"14089",서울특별시 양천구청,서울특별시 양천구 목동동로2길 68,서울특별시 양천구 신정동 봉영여중 정문 건너편,생활방범,"3",200.000000000000000,360도 전방,30.000000000000000,"201012",02-2620-4793,37.509081999999999,126.860747000000003,2019/11/20,"3140000",서울특별시 양천구,초등학교,계남초교,서울특별시 양천구 목동동로2길 54,서울특별시 양천구 신정7동 325-7,37.510169380000001,126.860016800000011,서울특별시 양천구청,양천경찰서,Y,5.000000000000000,"7",2020/06/01,"3140000",서울특별시 양천구,"0","97"
"2019","2019080810",주,목,"1","0","0","0","0",서울,양천구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,944496.000000000000000,1946466.000000000000000,126.871926999999999,37.515813659999999,"12998",서울특별시 양천구청,서울특별시 양천구 목동동로8길 33,"서울특별시 양천구 신정동 282-58, 어린이집 앞",어린이보호,"3",200.000000000000000,360도 전방,30.000000000000000,"201012",02-2620-4793,37.515956000000003,126.871853999999999,2019/11/20,"3140000",서울특별시 양천구,초등학교,신목초교,서울특별시 양천구 신목로5길 11-6,서울특별시 양천구 신정2동 281-1,37.516609629999998,126.872684599999999,서울특별시 양천구청,양천경찰서,Y,6.000000000000000,"6",2020/06/01,"3140000",서울특별시 양천구,"0","97"
"2019","2019040116",주,월,"1","0","0","0","0",서울,양천구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,자전거,보행자,943060.000000000000000,1946808.000000000000000,126.855651899999998,37.518808610000001,"14213",서울특별시 양천구청,서울특별시 양천구 중앙로32길 17,서울특별시 양천구 신정동 311-11,생활방범,"1",200.000000000000000,120도,30.000000000000000,"201512",02-2620-4793,37.518895000000001,126.855634000000023,2019/11/20,"3140000",서울특별시 양천구,초등학교,양명초교,서울특별시 양천구 중앙로 204,서울특별시 양천구 신정1동 543,37.516375040000000,126.856634400000004,서울특별시 양천구청,양천경찰서,Y,3.000000000000000,"7",2020/06/01,"3140000",서울특별시 양천구,"0","97"
"2019","2019060521",야,수,"1","0","0","0","0",서울,양천구,차대사람,차도통행중,차도통행중,보행자 보호의무 위반,교차로,교차로내,승합차,보행자,943355.000000000000000,1946352.000000000000000,126.859025200000005,37.514716810000003,"14213",서울특별시 양천구청,서울특별시 양천구 중앙로32길 17,서울특별시 양천구 신정동 311-11,생활방범,"1",200.000000000000000,120도,30.000000000000000,"201512",02-2620-4793,37.518895000000001,126.855634000000023,2019/11/20,"3140000",서울특별시 양천구,초등학교,양명초교,서울특별시 양천구 중앙로 204,서울특별시 양천구 신정1동 543,37.516375040000000,126.856634400000004,서울특별시 양천구청,양천경찰서,Y,3.000000000000000,"7",2020/06/01,"3140000",서울특별시 양천구,"0","97"
"2019","2019050401",야,토,"1","2","0","2","0",서울,양천구,차대차,추돌,추돌,과속,교차로,교차로부근,승용차,화물차,941066.000000000000000,1946411.000000000000000,126.833120500000007,37.515105190000000,"12970",서울특별시 양천구청,서울특별시 양천구 신정이펜2로 14,서울특별시 양천구 신정동 1320,어린이보호,"4",130.000000000000000,360도 전방,30.000000000000000,"201212",02-2620-4793,37.512490999999997,126.832437000000013,2019/11/20,"3140000",서울특별시 양천구,초등학교,신은초교,서울특별시 양천구 신정이펜2로 30,서울특별시 양천구 신정3동781-14,37.513992100000003,126.832171099999982,서울특별시 양천구청,양천경찰서,Y,6.000000000000000,"7",2020/06/01,"3140000",서울특별시 양천구,"0","11"
"2019","2019121612",주,월,"1","0","0","0","0",서울,강서구,차대차,기타,기타,신호위반,교차로,교차로부근,이륜차,승합차,944403.000000000000000,1950020.000000000000000,126.870605600000005,37.547840520000001,"13006",서울특별시 양천구청,서울특별시 양천구 목동중앙북로7가길 30,서울특별시 양천구 목동 608-8,생활방범,"3",200.000000000000000,360도 전방,30.000000000000000,"201012",02-2620-4793,37.549211000000000,126.865929000000008,2019/11/20,"3140000",서울특별시 양천구,유치원,동연유치원,서울특별시 양천구 목동중앙북로7길 22,서울특별시 양천구 목3동 602-16,37.548809000000006,126.867707499999995,서울특별시 양천구청,양천경찰서,Y,3.000000000000000,"6",2020/06/01,"3140000",서울특별시 양천구,"0","97"
"2019","2019092502",야,수,"1","0","0","0","0",서울,양천구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,945290.000000000000000,1948671.000000000000000,126.880747000000000,37.535734980000001,"13195",서울특별시 양천구청,"서울특별시 양천구 목동동로 393, 부영1차-벽산 평화의거리",서울특별시 양천구 목동 907-12,생활방범,"3",200.000000000000000,120도,30.000000000000000,"201812",02-2620-4793,37.535750000000000,126.879949999999994,2019/11/20,"3140000",서울특별시 양천구,유치원,원일유치원,서울특별시 양천구 목동동로 350,서울특별시 양천구 목5동 912,37.535158230000000,126.881874500000009,서울특별시 양천구청,양천경찰서,Y,2.000000000000000,"6",2020/06/01,"3140000",서울특별시 양천구,"0","98"
"2019","2019121612",주,월,"1","0","0","0","0",서울,강서구,차대차,기타,기타,신호위반,교차로,교차로부근,이륜차,승합차,944403.000000000000000,1950020.000000000000000,126.870605600000005,37.547840520000001,"13081",서울특별시 양천구청,서울특별시 양천구 목동중앙본로27길 37,서울특별시 양천구 목동 553-21,생활방범,"4",200.000000000000000,360도 전방,30.000000000000000,"201412",02-2620-4793,37.544292999999996,126.868375000000000,2019/11/20,"3140000",서울특별시 양천구,유치원,신목유치원,서울특별시 양천구 목동중앙북로10길 7-10,서울특별시 양천구 목2동 504-12,37.546331000000002,126.870203000000004,서울특별시 양천구청,양천경찰서,Y,2.000000000000000,"6",2020/06/01,"3140000",서울특별시 양천구,"0","97"
"2019","2019040720",야,일,"1","0","0","0","0",서울,양천구,차대차,측면충돌,측면충돌,신호위반,단일로,기타단일로,승합차,이륜차,940154.000000000000000,1949090.000000000000000,126.822582900000000,37.539192280000002,"13225",서울특별시 양천구청,서울특별시 양천구 가로공원로 91,서울특별시 양천구 신월동 48-8,생활방범,"3",200.000000000000000,360도 전방,30.000000000000000,"201012",02-2620-4793,37.535724999999999,126.826008000000002,2019/11/20,"3140000",서울특별시 양천구,유치원,광영유치원,서울특별시 양천구 남부순환로30길 17,서울특별시 양천구 신월3동 43-2,37.537197020000001,126.823275400000000,서울특별시 양천구청,양천경찰서,Y,0.000000000000000,"6",2020/06/01,"3140000",서울특별시 양천구,"0","10"
