,연번,시도,지자체,설치위치(학교),설치일자,재원,구분,사업주체기관,유지보수일자,비고,학교이름,주소
177,385,서울특별시,구로구,덕의초등학교,2017-09-15,한국공항공사,어린이재단,서울지역본부,,,덕의초등학교,서울 구로구 고척로 213
178,386,서울특별시,구로구,구일초등학교,2017-09-15,한국공항공사,어린이재단,서울지역본부,,,구일초등학교,서울 구로구 구일로 68
179,389,서울특별시,성동구,경일초등학교,2017-09-16,이마트,어린이재단,서울북부지역본부,,,경일초등학교,서울 성동구 뚝섬로 332
180,395,서울특별시,강서구,수명초등학교,2017-09-19,DB손해보험,어린이재단,서울지역본부,,,수명초등학교,서울 강서구 수명로1길 84
181,409,서울특별시,강북구,송중초등학교(A),2017-09-22,DB손해보험,어린이재단,서울남부지역본부,,,송중초등학교,서울 강북구 오현로 9
182,410,서울특별시,강북구,송중초등학교(B),2017-09-22,DB손해보험,어린이재단,서울남부지역본부,,,송중초등학교,서울 강북구 오현로 9
183,411,서울특별시,강서구,양천초등학교,2017-09-22,DB손해보험,어린이재단,서울지역본부,,,양천초등학교,서울 강서구 양천로 329
184,419,서울특별시,강서구,화곡초등학교,2017-09-26,이마트,어린이재단,서울북부지역본부,,,화곡초등학교,서울 강서구 초록마을로 28
185,424,서울특별시,은평구,구산초등학교(재설치),2017-09-29,이마트,어린이재단,서울북부지역본부,,,구산초등학교,서울 은평구 서오릉로15길 16
186,432,서울특별시,은평구,진관초등학교(A),2017-10-13,이마트,어린이재단,서울북부지역본부,,,진관초등학교,서울 은평구 진관4로 78-16
187,433,서울특별시,은평구,진관초등학교(B),2017-10-13,이마트,어린이재단,서울북부지역본부,,,진관초등학교,서울 은평구 진관4로 78-16
188,434,서울특별시,성북구,장월초등학교,2017-10-16,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,장월초등학교,서울 성북구 한천로101길 66
189,435,서울특별시,성북구,동신초등학교,2017-10-16,DB손해보험,어린이재단,서울남부지역본부,2018-11-16,"DB손해보험, 서울남부지역본부",동신초등학교,서울 성북구 보문사길 50
190,436,서울특별시,노원구,수락초등학교(B),2017-10-16,DB손해보험,어린이재단,서울남부지역본부,,,수락초등학교,서울 노원구 동일로 1745
191,440,서울특별시,성동구,응봉초등학교,2017-10-17,이마트,어린이재단,서울북부지역본부,,,응봉초등학교,서울 성동구 독서당로62길 28
192,441,서울특별시,성동구,경동초등학교,2017-10-17,이마트,어린이재단,서울북부지역본부,,,경동초등학교,서울 성동구 성수일로 34
193,442,서울특별시,성동구,동명초등학교,2017-10-17,이마트,어린이재단,서울북부지역본부,,,동명초등학교,서울 성동구 마장로29길 29
194,443,서울특별시,성동구,행당초등학교(A),2017-10-17,이마트,어린이재단,서울북부지역본부,,,행당초등학교,서울 성동구 고산자로8길 6
195,446,서울특별시,구로구,신도림초등학교,2017-10-18,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,신도림초등학교,서울 구로구 신도림로19길 44
196,447,서울특별시,성동구,사근초등학교,2017-10-18,이마트,어린이재단,서울북부지역본부,,,사근초등학교,서울 성동구 사근동11길 16
197,448,서울특별시,성동구,옥정초등학교,2017-10-18,이마트,어린이재단,서울북부지역본부,,,옥정초등학교,서울 성동구 한림말길 43
198,449,서울특별시,성동구,행현초등학교,2017-10-18,이마트,어린이재단,서울북부지역본부,,,행현초등학교,서울 성동구 행당로 95
199,450,서울특별시,성동구,숭신초등학교,2017-10-18,이마트,어린이재단,서울북부지역본부,,,숭신초등학교,서울 성동구 마장로 161
200,454,서울특별시,도봉구,신화초등학교,2017-10-19,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,신화초등학교,서울 도봉구 우이천로 120
201,458,서울특별시,강서구,우장초등학교,2017-10-19,이마트,어린이재단,서울북부지역본부,,,우장초등학교,서울 강서구 화곡로 263
202,459,서울특별시,강서구,염경초등학교,2017-10-19,이마트,어린이재단,서울북부지역본부,,,염경초등학교,서울 강서구 양천로69길 49
203,460,서울특별시,은평구,서진초등학교,2017-10-19,이마트,어린이재단,서울북부지역본부,,,서진초등학교,서울 은평구 은평터널로 150
204,464,서울특별시,성북구,숭덕초등학교,2017-10-20,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,2018-11-16,"DB손해보험, 서울남부지역본부",숭덕초등학교,서울 성북구 정릉로 279
205,472,서울특별시,강동구,선사초등학교,2017-10-20,DB손해보험,어린이재단,서울남부지역본부,,,선사초등학교,서울 강동구 올림픽로 837
206,473,서울특별시,도봉구,누원초등학교,2017-10-20,DB손해보험,어린이재단,서울남부지역본부,,,누원초등학교,서울 도봉구 마들로 859-44
207,474,서울특별시,강서구,개화초등학교,2017-10-20,한국공항공사,어린이재단,서울지역본부,2018-09-30,,개화초등학교,서울 강서구 양천로 11
208,480,서울특별시,은평구,은빛초등학교,2017-10-23,이마트,어린이재단,서울북부지역본부,,,은빛초등학교,서울 은평구 진관3로 73-17
209,487,서울특별시,양천구,서정초등학교,2017-10-24,한국공항공사,어린이재단,서울지역본부,2018-09-30,,서정초등학교,서울 양천구 목동로8길 19
210,523,서울특별시,관악구,봉현초등학교(A),2017-10-31,DB손해보험,어린이재단,서울남부지역본부,2018-07-27,"DB손해보험, 서울남부지역본부",봉현초등학교,서울 관악구 성현로 117
211,524,서울특별시,은평구,신도초등학교(B),2017-10-31,이마트,어린이재단,서울북부지역본부,,,신도초등학교,서울 은평구 진관1로 77-23
212,567,서울특별시,서초구,서일초등학교,2017-11-08,삼성전자,어린이재단,서울북부지역본부,,,서일초등학교,서울 서초구 남부순환로339길 38
213,568,서울특별시,서초구,신동초등학교,2017-11-08,삼성전자,어린이재단,서울북부지역본부,,,신동초등학교,서울 서초구 나루터로 15
214,569,서울특별시,서초구,서울교육대학부설초등학교,2017-11-08,삼성전자,어린이재단,서울북부지역본부,,,서울교육대학부설초등학교,서울 서초구 서초중앙로 96
