,연번,시도,지자체,설치위치(학교),설치일자,재원,구분,사업주체기관,유지보수일자,비고,학교이름,주소
26,59,서울특별시,동작구,본동초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,본동초등학교,서울 동작구 노량진로26길 16-40
27,60,서울특별시,동작구,신길초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,신길초등학교,서울 동작구 알마타길 16
28,61,서울특별시,동작구,동작초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,동작초등학교,서울 동작구 동작대로29길 214
29,62,서울특별시,동작구,신남성초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,신남성초등학교,서울 동작구 사당로 146
30,63,서울특별시,동작구,보라매초등학교,2016-05-20,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,보라매초등학교,서울 동작구 여의대방로16길 30
31,64,서울특별시,동작구,행림초등학교,2016-05-23,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,행림초등학교,서울 동작구 솔밭로 47
32,65,서울특별시,동작구,은로초등학교,2016-05-23,정부보조금(동작구청),국제아동인권센터,국제아동인권센터,,,은로초등학교,서울 동작구 서달로 115
33,68,서울특별시,서초구,양재초등학교(A),2016-05-27,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,양재초등학교,서울 서초구 바우뫼로18길 14
34,69,서울특별시,서초구,양재초등학교(B),2016-05-27,기아자동차,국제아동인권센터,국제아동인권센터,,,양재초등학교,서울 서초구 바우뫼로18길 14
35,70,서울특별시,서초구,서래초등학교,2016-05-27,기아자동차,국제아동인권센터,국제아동인권센터,,,서래초등학교,서울 서초구 방배로 260
36,71,서울특별시,서초구,서일초등학교,2016-05-27,기아자동차,국제아동인권센터,국제아동인권센터,2018-11-15,"DB손해보험, 서울남부지역본부",서일초등학교,서울 서초구 남부순환로339길 38
37,72,서울특별시,강남구,도성초등학교,2016-05-27,기아자동차,국제아동인권센터,국제아동인권센터,2018-11-12,"DB손해보험, 서울남부지역본부",도성초등학교,서울 강남구 역삼로 313
38,73,서울특별시,강남구,개일초등학교,2016-05-27,기아자동차,국제아동인권센터,국제아동인권센터,,,개일초등학교,서울 강남구 개포로 401
39,74,서울특별시,강남구,언북초등학교,2016-05-27,기아자동차,국제아동인권센터,국제아동인권센터,2018-11-12,"DB손해보험, 서울남부지역본부",언북초등학교,서울 강남구 삼성로135길 42
40,79,서울특별시,광진구,구남초등학교,2016-06-07,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,2018-10-30,"DB손해보험, 서울남부지역본부",구남초등학교,서울 광진구 구의강변로 69
41,80,서울특별시,중랑구,중랑초등학교,2016-06-07,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,2018-11-13,"DB손해보험, 서울남부지역본부",중랑초등학교,서울 중랑구 봉우재로6길 26
42,81,서울특별시,서대문구,고은초등학교,2016-06-07,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,2018-11-18,"DB손해보험, 서울남부지역본부",고은초등학교,서울 서대문구 모래내로 441
43,82,서울특별시,양천구,계남초등학교,2016-06-07,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,2018-09-30,한국공항공사재원,계남초등학교,서울 양천구 목동동로2길 54
44,83,서울특별시,구로구,온수초등학교,2016-06-07,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,온수초등학교,서울 구로구 부일로 893
45,84,서울특별시,금천구,문교초등학교,2016-06-07,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,문교초등학교,서울 금천구 독산로54길 102
46,85,서울특별시,관악구,신우초등학교,2016-06-07,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,신우초등학교,서울 관악구 호암로 498
47,86,서울특별시,강남구,영희초등학교,2016-06-07,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,영희초등학교,서울 강남구 일원로 21
48,87,서울특별시,강동구,성일초등학교,2016-06-07,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,성일초등학교,서울 강동구 성내로15길 33
49,88,서울특별시,동대문구,홍파초등학교,2016-06-08,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,홍파초등학교,서울 동대문구 고산자로 518
50,89,서울특별시,금천구,금천초등학교,2016-06-08,기아자동차,국제아동인권센터,국제아동인권센터,,,금천초등학교,서울 금천구 탑골로5길 60
51,90,서울특별시,금천구,신흥초등학교,2016-06-08,기아자동차,국제아동인권센터,국제아동인권센터,,,신흥초등학교,서울 금천구 독산로36나길 21
52,91,서울특별시,금천구,백산초등학교,2016-06-08,기아자동차,국제아동인권센터,국제아동인권센터,,,백산초등학교,서울 금천구 시흥대로38길 78
53,92,서울특별시,도봉구,방학초등학교,2016-06-09,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,방학초등학교,서울 도봉구 도당로9길 34
54,93,서울특별시,강서구,탑산초등학교,2016-06-09,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,탑산초등학교,서울 강서구 허준로 109
55,95,서울특별시,성북구,정릉초등학교,2016-06-14,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,정릉초등학교,서울 성북구 솔샘로25가길 8
56,96,서울특별시,노원구,선곡초등학교,2016-06-14,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,선곡초등학교,서울 노원구 광운로2길 1
57,107,서울특별시,마포구,공덕초등학교,2016-07-11,정부보조금(마포구청),국제아동인권센터,국제아동인권센터,2016-10-20,3m 예산,공덕초등학교,서울 마포구 만리재옛길 13
58,108,서울특별시,성북구,안암초등학교,2016-07-15,DB손해보험,어린이재단,서울남부지역본부,,,안암초등학교,서울 성북구 고려대로7가길 39
59,116,서울특별시,서초구,서초초등학교,2016-09-05,DB손해보험,어린이재단,서울남부지역본부,2018-11-02,"DB손해보험, 서울남부지역본부",서초초등학교,서울 서초구 서운로 178
60,117,서울특별시,서초구,서원초등학교,2016-09-05,DB손해보험,어린이재단,서울남부지역본부,,,서원초등학교,서울 서초구 고무래로 63
61,118,서울특별시,서초구,잠원초등학교,2016-09-05,DB손해보험,어린이재단,서울남부지역본부,,,잠원초등학교,서울 서초구 신반포로16길 15-25
62,119,서울특별시,노원구,온곡초등학교,2016-09-12,DB손해보험,어린이재단,서울남부지역본부,,,온곡초등학교,서울 노원구 한글비석로52길 59
63,120,서울특별시,노원구,청계초등학교,2016-09-12,DB손해보험,어린이재단,서울남부지역본부,,,청계초등학교,서울 노원구 공릉로 431
64,121,서울특별시,노원구,한천초등학교,2016-09-12,DB손해보험,어린이재단,서울남부지역본부,,,한천초등학교,서울 노원구 마들로 45
65,123,서울특별시,성북구,안암초등학교,2016-09-21,DB손해보험,어린이재단,서울남부지역본부,,,안암초등학교,서울 성북구 고려대로7가길 39
66,124,서울특별시,성동구,금호초등학교,2016-09-21,DB손해보험,어린이재단,서울남부지역본부,,,금호초등학교,서울 성동구 무수막길 69
67,126,서울특별시,마포구,염리초등학교,2016-09-27,DB손해보험,어린이재단,서울남부지역본부,,,염리초등학교,서울 마포구 토정로37길 37
68,127,서울특별시,용산구,보광초등학교,2016-09-29,KDB생명,어린이재단,서울북부지역본부,,,보광초등학교,서울 용산구 우사단로 20
69,128,서울특별시,용산구,금양초등학교,2016-09-29,KDB생명,어린이재단,서울북부지역본부,,,금양초등학교,서울 용산구 효창원로 137
70,129,서울특별시,용산구,청파초등학교,2016-09-29,KDB생명,어린이재단,서울북부지역본부,,,청파초등학교,서울 용산구 효창원로 228
71,130,서울특별시,양천구,강신초등학교,2016-09-30,정부보조금(양천구청),국제아동인권센터,국제아동인권센터,,,강신초등학교,서울 양천구 월정로 280
72,134,서울특별시,양천구,갈산초등학교,2016-10-06,정부보조금(양천구청),국제아동인권센터,국제아동인권센터,,,갈산초등학교,서울 양천구 목동로 31
73,135,서울특별시,서대문구,금화초등학교,2016-10-07,다우케미컬,어린이재단,서울남부지역본부,,,금화초등학교,서울 서대문구 통일로 165
74,136,서울특별시,서대문구,홍연초등학교,2016-10-07,다우케미컬,어린이재단,서울남부지역본부,2018-11-15,"DB손해보험, 서울남부지역본부",홍연초등학교,서울 서대문구 백련사길 55
75,137,서울특별시,서대문구,안산초등학교,2016-10-07,다우케미컬,어린이재단,서울남부지역본부,,,안산초등학교,서울 서대문구 통일로 321
76,139,서울특별시,금천구,가산초등학교,2016-10-10,정부보조금(독산1동 주민센터),국제아동인권센터,국제아동인권센터,,,가산초등학교,서울 금천구 남부순환로 1304-11
77,140,서울특별시,금천구,두산초등학교,2016-10-10,정부보조금(독산1동 주민센터),국제아동인권센터,국제아동인권센터,2018-11-02,"DB손해보험, 서울남부지역본부",두산초등학교,서울 금천구 범안로11길 3
78,146,서울특별시,마포구,아현초등학교,2016-10-12,3M,국제아동인권센터,국제아동인권센터,,,아현초등학교,서울 마포구 굴레방로 6
79,150,서울특별시,은평구,증산초등학교,2016-10-17,DB손해보험,어린이재단,서울남부지역본부,,,증산초등학교,서울 은평구 증산서길 61
80,151,서울특별시,은평구,상신초등학교,2016-10-17,DB손해보험,어린이재단,서울남부지역본부,,,상신초등학교,서울 은평구 가좌로 361
81,152,서울특별시,은평구,연신초등학교,2016-10-17,DB손해보험,어린이재단,서울남부지역본부,,,연신초등학교,서울 은평구 연서로 347
82,154,서울특별시,도봉구,쌍문초등학교,2016-10-18,DB손해보험,어린이재단,서울남부지역본부,,,쌍문초등학교,서울 도봉구 우이천로 360
83,155,서울특별시,성북구,길음초등학교,2016-10-18,DB손해보험,어린이재단,서울남부지역본부,,,길음초등학교,서울 성북구 길음로 142
84,156,서울특별시,성북구,청덕초등학교(B),2016-10-19,지자체 및 InCRC,국제아동인권센터,국제아동인권센터,,,청덕초등학교,서울 성북구 정릉로9라길 11
85,157,서울특별시,강서구,등촌초등학교,2016-10-19,DB손해보험,어린이재단,서울남부지역본부,2018-11-02,"DB손해보험, 서울남부지역본부",등촌초등학교,서울 강서구 등촌로39길 71
86,158,서울특별시,도봉구,창도초등학교,2016-10-19,DB손해보험,어린이재단,서울남부지역본부,,,창도초등학교,서울 도봉구 방학로 32-28
87,159,서울특별시,성북구,청덕초등학교(A),2016-10-19,DB손해보험,어린이재단,서울남부지역본부,,,청덕초등학교,서울 성북구 정릉로9라길 11
88,162,서울특별시,송파구,오금초등학교,2016-10-20,DB손해보험,어린이재단,서울남부지역본부,,,오금초등학교,서울 송파구 위례성대로22길 11
89,163,서울특별시,송파구,석촌초등학교,2016-10-20,DB손해보험,어린이재단,서울남부지역본부,,,석촌초등학교,서울 송파구 가락로11길 26
90,164,서울특별시,은평구,서신초등학교,2016-10-20,DB손해보험,어린이재단,서울남부지역본부,,,서신초등학교,서울 은평구 은평터널로 150
91,189,서울특별시,강남구,논현초등학교,2016-11-09,DB손해보험,어린이재단,서울남부지역본부,,,논현초등학교,서울 강남구 강남대로120길 33
92,190,서울특별시,강남구,영희초등학교,2016-11-09,DB손해보험,어린이재단,서울남부지역본부,2018-11-02,"DB손해보험, 서울남부지역본부",영희초등학교,서울 강남구 일원로 21
93,191,서울특별시,강남구,대왕초등학교,2016-11-09,DB손해보험,어린이재단,서울남부지역본부,,,대왕초등학교,서울 강남구 헌릉로618길 8
94,192,서울특별시,종로구,상명대부속초등학교,2016-11-10,DB손해보험,어린이재단,서울남부지역본부,,,상명대부속초등학교,서울 종로구 홍지문2길 1
95,193,서울특별시,성북구,숭례초등학교,2016-11-10,DB손해보험,어린이재단,서울남부지역본부,,,숭례초등학교,서울 성북구 종암로5길 14
96,197,서울특별시,노원구,연지초등학교,2016-11-14,DB손해보험,어린이재단,서울남부지역본부,,,연지초등학교,서울 노원구 월계로55길 48
97,200,서울특별시,종로구,창신초등학교,2016-11-16,DB손해보험,어린이재단,서울남부지역본부,,,창신초등학교,서울 종로구 지봉로 73
98,201,서울특별시,노원구,상원초등학교,2016-11-17,DB손해보험,어린이재단,서울남부지역본부,,,상원초등학교,서울 노원구 한글비석로54길 119
99,205,서울특별시,도봉구,월천초등학교,2016-11-21,DB손해보험,어린이재단,서울남부지역본부,2018-11-14,"DB손해보험, 서울남부지역본부",월천초등학교,서울 도봉구 노해로70길 96
100,206,서울특별시,도봉구,창림초등학교,2016-11-23,DB손해보험,어린이재단,서울남부지역본부,,,창림초등학교,서울 도봉구 덕릉로63길 46
101,207,서울특별시,도봉구,신학초등학교,2016-11-23,DB손해보험,어린이재단,서울남부지역본부,,,신학초등학교,서울 도봉구 방학로 247-21
102,208,서울특별시,도봉구,초당초등학교,2016-11-23,DB손해보험,어린이재단,서울남부지역본부,2018-11-14,"DB손해보험, 서울남부지역본부",초당초등학교,서울 도봉구 해등로32길 11
103,209,서울특별시,관악구,청룡초등학교,2016-11-24,DB손해보험,어린이재단,서울남부지역본부,,,청룡초등학교,서울 관악구 관악로5길 61
104,210,서울특별시,성북구,정수초등학교,2016-11-25,DB손해보험,어린이재단,서울남부지역본부,,,정수초등학교,서울 성북구 정릉로24길 58
105,217,서울특별시,종로구,독립문초등학교,2017-04-12,DB손해보험,어린이재단,서울남부지역본부,,,독립문초등학교,서울 종로구 통일로12길 23
106,218,서울특별시,종로구,효제초등학교,2017-04-12,DB손해보험,어린이재단,서울남부지역본부,,,효제초등학교,서울 종로구 대학로 12
107,219,서울특별시,종로구,서울사대부초등학교,2017-04-13,DB손해보험,어린이재단,서울남부지역본부,,,서울사대부초등학교,서울 종로구 대학로 64
108,220,서울특별시,종로구,청운초등학교,2017-04-13,DB손해보험,어린이재단,서울남부지역본부,,,청운초등학교,서울 종로구 자하문로 105
109,221,서울특별시,종로구,운현초등학교,2017-04-13,DB손해보험,어린이재단,서울남부지역본부,,,운현초등학교,서울 종로구 삼일대로 460
110,225,서울특별시,종로구,명신초등학교,2017-04-14,DB손해보험,어린이재단,서울남부지역본부,,,명신초등학교,서울 종로구 낙산길 250
111,226,서울특별시,종로구,혜화초등학교,2017-04-14,DB손해보험,어린이재단,서울남부지역본부,,,혜화초등학교,서울 종로구 혜화로 32
112,227,서울특별시,종로구,세검정초등학교,2017-04-14,DB손해보험,어린이재단,서울남부지역본부,,,세검정초등학교,서울 종로구 세검정로9길 1
113,232,서울특별시,동대문구,이문초등학교,2017-04-27,DB손해보험,어린이재단,서울남부지역본부,,,이문초등학교,서울 동대문구 신이문로 16
114,233,서울특별시,동대문구,휘봉초등학교,2017-04-27,DB손해보험,어린이재단,서울남부지역본부,,,휘봉초등학교,서울 동대문구 장안벚꽃로 309
115,234,서울특별시,동대문구,전농초등학교,2017-04-28,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,전농초등학교,서울 동대문구 사가정로 66
116,235,서울특별시,서대문구,홍은초등학교,2017-04-28,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,홍은초등학교,서울 서대문구 세검정로 105
117,236,서울특별시,서대문구,연가초등학교,2017-04-28,DB손해보험,어린이재단,서울남부지역본부,,,연가초등학교,서울 서대문구 증가로12가길 49-50
118,237,서울특별시,서대문구,북가좌초등학교,2017-04-28,DB손해보험,어린이재단,서울남부지역본부,,,북가좌초등학교,서울 서대문구 거북골로19길 20
119,238,서울특별시,영등포구,영림초등학교,2017-05-16,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,영림초등학교,서울 영등포구 시흥대로173길 14
120,239,서울특별시,노원구,용원초등학교(A),2017-05-18,DB손해보험,어린이재단,서울남부지역본부,,,용원초등학교,서울 노원구 섬밭로 144
121,240,서울특별시,노원구,용원초등학교(B),2017-05-18,DB손해보험,어린이재단,서울남부지역본부,,,용원초등학교,서울 노원구 섬밭로 144
122,241,서울특별시,노원구,월계초등학교,2017-05-18,DB손해보험,어린이재단,서울남부지역본부,,,월계초등학교,서울 노원구 월계로45가길 10
123,243,서울특별시,노원구,불암초등학교(A),2017-05-19,정부보조금(서울특별시),국제아동인권센터,국제아동인권센터,,,불암초등학교,서울 노원구 중계로 178
124,244,서울특별시,노원구,불암초등학교(B),2017-05-19,DB손해보험,어린이재단,서울남부지역본부,,,불암초등학교,서울 노원구 중계로 178
125,245,서울특별시,노원구,불암초등학교(C),2017-05-19,DB손해보험,어린이재단,서울남부지역본부,,,불암초등학교,서울 노원구 중계로 178
126,246,서울특별시,노원구,수락초등학교,2017-05-22,DB손해보험,어린이재단,서울남부지역본부,,,수락초등학교,서울 노원구 동일로 1745
127,248,서울특별시,영등포구,대동초등학교,2017-05-25,DB손해보험,어린이재단,서울남부지역본부,,,대동초등학교,서울 영등포구 대림로21길 6
128,249,서울특별시,광진구,신양초등학교,2017-05-26,DB손해보험,어린이재단,서울남부지역본부,2018-10-30,"DB손해보험, 서울남부지역본부",신양초등학교,서울 광진구 능동로 42
129,250,서울특별시,광진구,동자초등학교,2017-05-26,DB손해보험,어린이재단,서울남부지역본부,,,동자초등학교,서울 광진구 뚝섬로 561
130,251,서울특별시,광진구,성자초등학교,2017-05-26,DB손해보험,어린이재단,서울남부지역본부,,,성자초등학교,서울 광진구 뚝섬로56길 7
131,252,서울특별시,광진구,양남초등학교,2017-05-29,DB손해보험,어린이재단,서울남부지역본부,2018-10-30,"DB손해보험, 서울남부지역본부",양남초등학교,서울 광진구 뚝섬로64길 71
132,253,서울특별시,광진구,세종초등학교,2017-05-29,DB손해보험,어린이재단,서울남부지역본부,2018-11-11,"DB손해보험, 서울남부지역본부",세종초등학교,서울 광진구 군자로 114
133,254,서울특별시,광진구,장안초등학교,2017-05-29,DB손해보험,어린이재단,서울남부지역본부,2018-11-11,"DB손해보험, 서울남부지역본부",장안초등학교,서울 광진구 군자로 74
134,256,서울특별시,용산구,서빙고초등학교,2017-05-30,DB손해보험,어린이재단,서울남부지역본부,,,서빙고초등학교,서울 용산구 서빙고로51길 14
135,257,서울특별시,은평구,은진초등학교,2017-05-30,이마트,어린이재단,서울북부지역본부,,,은진초등학교,서울 은평구 진관1로 21-20
