사고번호,사고일시,요일,시군구,X,Y,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.02E+15,2019년 5월 13일 19시,월요일,서울특별시 구로구 오류동,126.838594,37.491666,중상사고,0,1,0,0,차대사람 - 횡단중,미분류,포장 - 건조,맑음,교차로 - 교차로안,승용,여,40세,상해없음,보행자,남,12세,중상
2.02E+15,2019년 5월 17일 17시,금요일,서울특별시 강서구 화곡동,126.84727,37.540704,경상사고,0,0,1,0,차대차 - 후진중충돌,미분류,포장 - 건조,맑음,단일로 - 기타,승용,남,54세,상해없음,자전거,남,10세,경상
2.02E+15,2019년 5월 24일 13시,금요일,서울특별시 강남구 청담동,127.050467,37.524402,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,25세,상해없음,보행자,여,6세,경상
2.02E+15,2019년 5월 25일 17시,토요일,서울특별시 도봉구 창동,127.044061,37.647747,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 기타,맑음,교차로 - 교차로부근,자전거,남,22세,상해없음,보행자,여,4세,경상
2.02E+15,2019년 5월 28일 18시,화요일,서울특별시 구로구 구로동,126.884681,37.494236,부상신고사고,0,0,0,1,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,10세,부상신고,승용,남,36세,상해없음
2.02E+15,2019년 5월 31일 15시,금요일,서울특별시 은평구 역촌동,126.914622,37.604586,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,이륜,남,36세,상해없음,보행자,여,4세,부상신고
2.02E+15,2019년 6월 5일 13시,수요일,서울특별시 구로구 온수동,126.820609,37.494146,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,42세,상해없음,보행자,남,7세,경상
2.02E+15,2019년 6월 11일 13시,화요일,서울특별시 강서구 마곡동,126.830206,37.574793,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,67세,상해없음,보행자,여,8세,경상
2.02E+15,2019년 6월 12일 16시,수요일,서울특별시 동대문구 이문동,127.063251,37.599462,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,남,6세,중상
2.02E+15,2019년 6월 13일 07시,목요일,서울특별시 강동구 천호동,127.127629,37.544379,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,52세,상해없음,보행자,여,8세,경상
2.02E+15,2019년 6월 13일 13시,목요일,서울특별시 강남구 대치동,127.06334,37.499194,경상사고,0,0,1,0,차대사람 - 횡단중,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,자전거,남,44세,기타불명,보행자,남,8세,경상
2.02E+15,2019년 6월 17일 16시,월요일,서울특별시 성북구 상월곡동,127.047775,37.606177,중상사고,0,1,0,0,차대사람 - 횡단중,미분류,포장 - 건조,맑음,단일로 - 기타,승용,여,56세,상해없음,보행자,남,6세,중상
2.02E+15,2019년 6월 17일 18시,월요일,서울특별시 성북구 장위동,127.049914,37.615222,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,보행자,남,10세,경상
2.02E+15,2019년 6월 19일 21시,수요일,서울특별시 강서구 가양동,126.844678,37.566448,경상사고,0,0,1,0,차대사람 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,17세,상해없음,보행자,남,5세,경상
2.02E+15,2019년 6월 22일 18시,토요일,서울특별시 은평구 역촌동,126.914622,37.604586,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,33세,상해없음,보행자,여,8세,경상
2.02E+15,2019년 6월 25일 18시,화요일,서울특별시 도봉구 창동,127.044061,37.647747,중상사고,0,1,0,0,차대차 - 기타,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,51세,상해없음,자전거,남,11세,중상
2.02E+15,2019년 6월 26일 16시,수요일,서울특별시 송파구 방이동,127.125384,37.515681,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,보행자,남,4세,부상신고
2.02E+15,2019년 6월 27일 16시,목요일,서울특별시 구로구 구로동,126.884681,37.494236,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,40세,상해없음,보행자,여,10세,경상
2.02E+15,2019년 6월 30일 12시,일요일,서울특별시 구로구 구로동,126.884681,37.494236,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,25세,상해없음,보행자,여,2세,경상
2.02E+15,2019년 7월 2일 15시,화요일,서울특별시 동대문구 휘경동,127.064513,37.588218,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,45세,상해없음,보행자,남,10세,경상
2.02E+15,2019년 7월 3일 15시,수요일,서울특별시 강서구 화곡동,126.84727,37.540704,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,56세,상해없음,보행자,남,8세,부상신고
2.02E+15,2019년 7월 4일 16시,목요일,서울특별시 강서구 방화동,126.813917,37.575414,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,66세,상해없음,보행자,남,8세,중상
2.02E+15,2019년 7월 5일 08시,금요일,서울특별시 마포구 아현동,126.956319,37.554477,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,여,10세,경상
2.02E+15,2019년 7월 9일 18시,화요일,서울특별시 양천구 목동,126.87452,37.536047,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,45세,상해없음,보행자,남,11세,경상
2.02E+15,2019년 7월 12일 09시,금요일,서울특별시 도봉구 창동,127.044061,37.647747,경상사고,0,0,2,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,특수,남,49세,상해없음,승용,여,36세,경상
2.02E+15,2019년 7월 12일 15시,금요일,서울특별시 동작구 사당동,126.972305,37.485624,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,61세,기타불명,자전거,여,10세,경상
2.02E+15,2019년 7월 13일 12시,토요일,서울특별시 서초구 내곡동,127.076738,37.458157,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,9세,부상신고,승용,남,30세,상해없음
2.02E+15,2019년 7월 19일 02시,금요일,서울특별시 도봉구 창동,127.044061,37.647747,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,여,67세,상해없음,보행자,남,9세,경상
2.02E+15,2019년 7월 19일 15시,금요일,서울특별시 성북구 하월곡동,127.039357,37.604685,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,50세,상해없음,보행자,남,9세,경상
2.02E+15,2019년 7월 25일 13시,목요일,서울특별시 양천구 신정동,126.855717,37.515197,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,여,43세,상해없음,자전거,남,8세,부상신고
2.02E+15,2019년 8월 1일 11시,목요일,서울특별시 마포구 중동,126.906168,37.571638,중상사고,0,1,0,0,차대사람 - 보도통행중,신호위반,포장 - 젖음/습기,흐림,교차로 - 교차로횡단보도내,이륜,남,27세,상해없음,보행자,여,6세,중상
2.02E+15,2019년 8월 3일 17시,토요일,서울특별시 양천구 목동,126.87452,37.536047,중상사고,0,1,0,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,단일로 - 기타,화물,남,40세,상해없음,자전거,남,8세,중상
2.02E+15,2019년 8월 6일 11시,화요일,서울특별시 성북구 동소문동7가,127.014189,37.596332,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,43세,경상,승용,여,39세,경상
2.02E+15,2019년 8월 6일 19시,화요일,서울특별시 중랑구 면목동,127.089212,37.582365,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,8세,경상,승용,남,62세,상해없음
2.02E+15,2019년 8월 8일 10시,목요일,서울특별시 양천구 신정동,126.855717,37.515197,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,승용,여,42세,상해없음,보행자,남,5세,사망
2.02E+15,2019년 8월 9일 11시,금요일,서울특별시 광진구 자양동,127.07452,37.531702,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,70세,상해없음,보행자,남,9세,중상
2.02E+15,2019년 8월 9일 16시,금요일,서울특별시 강서구 화곡동,126.84727,37.540704,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,70세,상해없음,보행자,남,6세,경상
2.02E+15,2019년 8월 12일 17시,월요일,서울특별시 구로구 오류동,126.838594,37.491666,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,53세,상해없음,보행자,남,9세,중상
2.02E+15,2019년 8월 13일 19시,화요일,서울특별시 강남구 논현동,127.031713,37.51368,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,36세,상해없음,보행자,남,6세,경상
